I-16,knew-17,Harvey_Dent-18:recipient
Bruce-1,goes-2,offices-7:attachment
Bruce-1,goes-2,day-10:time
<NULL>,blowing-35,budget-40:recipient
<NULL>,taking-29,<NULL>
<NULL>,meet-12,<NULL>
Bruce-1,shows-10,<NULL>
Bruce-1,takes-2,down-4:verb_complement
Bruce-1,takes-2,Bruce-3:recipient
Bruce-1,takes-2,department-8:attachment
project-1,is-2,S-6:recipient
rotors-9,make-11,<NULL>
<NULL>,navigating-15,<NULL>
project-2,designed-3,combat-6:destination
<NULL>,come-26,black-28:is_participant_in
<NULL>,does-25,<NULL>
Fox-14,nicknames-16,simply-15:modifier
Fox-14,nicknames-16,Bat-18:recipient
project-2,has-5,designation-9:recipient
<NULL>,is-11,<NULL>
<NULL>,repaired-16,autopilot-13:recipient
<NULL>,repaired-16,could-14:modal_verb
Bat-2,works-4,fine-5:object
Bat-2,works-4,currently-3:modifier
Bruce-8,does-15,arts-18:recipient
Bruce-8,does-15,Batcave-21:is_participant_in
<NULL>,motorized-11,<NULL>
Bruce-8,straps-9,<NULL>
<NULL>,get-2,back-3:verb_complement
<NULL>,get-2,shape-6:modified_to
Bruce-5,tells-13,Bruce-14:recipient
Bruce-16,know-19,rumors-21:location_of
rumors-21,surround-23,Bane-24:recipient
Bruce-16,needs-17,<NULL>
Alfred-1,walks-2,in-3:verb_complement
Bruce-5,tells-13,Bruce-14:recipient
Bruce-16,know-19,rumors-21:location_of
rumors-21,surround-23,Bane-24:recipient
Bruce-16,needs-17,<NULL>
Bruce-5,practicing-7,kick-10:recipient
Bane-3,called-14,simply-13:modifier
Bane-3,called-14,Pits-16:recipient
Bane-3,escaped-4,Supposedly-1:modifier
Bane-3,escaped-4,prison-8:raw_material
Bane-3,called-14,simply-13:modifier
Bane-3,called-14,Pits-16:recipient
<NULL>,known-9,brutality-11:destination
alGhul-18,trained-14,Bane-1:recipient
Bane-1,became-3,then-2:modifier
<NULL>,excommunicated-3,Bane-1:recipient
<NULL>,excommunicated-3,group-6:compared_to
Alfred-1,warns-2,Bruce-3:recipient
anyone-5,is-15,not-16:negative
Alfred-1,believes-2,<NULL>
Bruce-3,has-4,death-6:recipient
<NULL>,wish-7,<NULL>
<NULL>,being-12,<NULL>
Bane-4,carry-10,assault-13:recipient
Bane-4,carry-10,robbery-15:recipient
Bane-4,carry-10,out-11:verb_complement
Bane-4,carry-10,evening-2:time
<NULL>,stashing-28,gun-31:recipient
henchman-2,enters-7,building-9:recipient
henchman-2,enters-7,McGarrity-4:modifier
David_Dayan_Fisher-6,enters-7,building-9:recipient
David_Dayan_Fisher-6,enters-7,McGarrity-4:modifier
<NULL>,stashing-28,gun-31:recipient
<NULL>,posing-11,bag-36:is_participant_in
<NULL>,hiding-23,gun-26:recipient
<NULL>,hiding-23,bucket-31:is_participant_in
Massi_Furlan-5,pretends-13,<NULL>
<NULL>,hiding-23,gun-26:recipient
<NULL>,hiding-23,bucket-31:is_participant_in
Massi_Furlan-5,mop-15,floor-17:recipient
<NULL>,hiding-23,gun-26:recipient
<NULL>,hiding-23,bucket-31:is_participant_in
Massi_Furlan-5,enters-6,<NULL>
<NULL>,posing-13,<NULL>
henchman-3,sneaks-7,floor-11:prep_onto
<NULL>,make-32,way-34:modifier
<NULL>,make-32,they-33:recipient
<NULL>,wait-16,<NULL>
<NULL>,is-19,no-20:modifier
<NULL>,is-19,around-22:dependent
<NULL>,make-32,way-34:modifier
<NULL>,make-32,they-33:recipient
they-12,doing-14,drop-10:recipient
Bane-6,wearing-18,helmet-21:recipient
<NULL>,disguised-12,<NULL>
Bane-6,wearing-18,helmet-21:recipient
Bane-6,arrives-7,time-4:site
alarm-10,goes-11,off-12:verb_complement
Bane-2,walks-3,When-1:modifier
cameras-18,see-20,can-19:modal_verb
cameras-18,see-20,face-23:recipient
Bane-6,guard-9,<NULL>
orders-8,guard-9,<NULL>
Bane-6,take-11,helmet-15:recipient
Bane-6,take-11,off-12:verb_complement
orders-8,take-11,helmet-15:recipient
orders-8,take-11,off-12:verb_complement
guard-4,stops-5,<NULL>
guard-1,removes-2,helmet-5:recipient
<NULL>,punching-14,guard-17:recipient
Bane-7,lashes-8,out-9:verb_complement
<NULL>,punching-14,guard-17:recipient
guards-3,react-5,can-4:modal_verb
Bane-1,knocks-2,guard-6:recipient
Bane-1,knocks-2,out-3:verb_complement
fracture-37,'s-38,skull-43:recipient
guard-3,tries-4,<NULL>
hand-17,shoots-30,guard-33:recipient
Petrov-14,whips-24,customer-27:recipient
Petrov-14,shoots-36,trader-39:recipient
Petrov-14,draws-16,Upstairs-1:modifier
Petrov-14,draws-16,bag-22:raw_material
Petrov-14,draws-16,suddenly-15:modifier
Petrov-14,draws-16,pistol-18:recipient
McGarrity-4,walk-8,floor-12:modified_to
janitor-7,walk-8,floor-12:modified_to
McGarrity-6,sending-13,diving-15:recipient
McGarrity-6,sending-13,fire-11:dependent
McGarrity-6,sending-13,guns-8:dependent
McGarrity-6,sending-13,traders-14:recipient
McGarrity-1,raise-5,<NULL>
janitor-4,raise-5,<NULL>
henchmen-3,cease-4,<NULL>
we-10,saw-12,trader-8:recipient
we-10,saw-12,just-11:modifier
<NULL>,notices-6,trader-8:recipient
McGarrity-1,looks-2,around-3:verb_complement
<NULL>,shined-17,<NULL>
money-9,is-7,<NULL>
trader-3,protests-4,<NULL>
<NULL>,steal-13,<NULL>
Bane-15,drags-16,man-18:recipient
Bane-15,slams-29,table-35:object
Bane-15,slams-29,head-32:recipient
McGarrity-1,uses-11,terminal-21:modified_to
McGarrity-1,uses-11,cable-14:recipient
McGarrity-1,pulls-2,laptop-4:recipient
McGarrity-1,pulls-2,bag-9:object
series-17,begin-20,<NULL>
Bane-1,uses-2,card-7:recipient
police-2,arrive-11,exchange-14:prep_outside
<NULL>,including-4,<NULL>
chief-3,is-7,<NULL>
Bane-10,has-11,assets-17:attachment
Bane-10,has-11,access-12:recipient
<NULL>,endangering-5,<NULL>
Foley-1,refuses-2,<NULL>
orders-2,shut-9,down-10:verb_complement
orders-2,shut-9,attempt-13:is_participant_in
McGarrity-8,reports-9,when-7:modifier
McGarrity-8,reports-9,McGarrity-12:attachment
Bane-3,is-4,<NULL>
Blake-13,climbs-16,car-21:object
Foley-2,dealing-4,<NULL>
Blake-13,notices-24,<NULL>
Blake-13,arrives-14,<NULL>
truck-28,parked-29,<NULL>
<NULL>,move-9,truck-12:recipient
Foley-1,tells-5,driver-7:recipient
Foley-1,walks-2,over-3:verb_complement
argument-5,is-2,<NULL>
driver-8,insists-9,<NULL>
driver-10,has-11,nowhere-12:modifier
Blake-1,tells-2,Blake-3:recipient
<NULL>,is-12,<NULL>
alarm-4,goes-5,Suddenly-1:modifier
alarm-4,goes-5,off-6:verb_complement
<NULL>,leaving-25,street-27:recipient
<NULL>,raised-13,ramp-11:recipient
<NULL>,raised-13,end-16:site
orders-2,rushes-12,off-13:verb_complement
Bane-5,asks-6,McGarrity-7:recipient
Bane-5,asks-6,exchange-3:is_behind
robbers-4,need-5,minutes-8:recipient
McGarrity-1,reports-2,<NULL>
robbers-9,leaving-11,<NULL>
<NULL>,are-10,<NULL>
Bane-1,says-7,<NULL>
Bane-1,looks-2,clock-5:site
everyone-4,fires-14,ceiling-17:modified_to
everyone-4,raises-8,gun-12:recipient
<NULL>,scrambling-21,feet-24:recipient
McGarrity-1,stuffs-2,bag-9:modified_to
McGarrity-1,stuffs-2,tablet-5:recipient
Bane-12,grabs-13,helmet-16:recipient
Bane-12,starts-18,exit-21:destination
officers-2,aim-3,rifles-7:recipient
officers-2,aim-3,doors-11:site
officers-2,aim-3,pistols-5:recipient
<NULL>,raised-23,<NULL>
hostages-14,begin-15,<NULL>
sniper-2,notices-10,couple-12:recipient
<NULL>,stationed-3,<NULL>
<NULL>,riding-21,motorcycle-23:recipient
officers-6,are-7,what-5:recipient
janitor-33,followed-25,<NULL>
Petrov-29,followed-25,<NULL>
McGarrity-27,followed-25,<NULL>
Bane-15,bursts-16,building-20:object
crowd-10,dives-11,cover-13:destination
sniper-2,register-4,can-3:modal_verb
<NULL>,strapped-8,back-11:attachment
robber-2,carrying-4,hostage-6:recipient
Foley-1,yells-2,officers-5:destination
<NULL>,speed-12,<NULL>
<NULL>,use-20,barriers-23:recipient
men-5,weave-6,<NULL>
men-2,pass-3,truck-6:recipient
men-2,pass-3,position-10:recipient
janitor-15,throw-16,off-19:verb_complement
janitor-15,throw-16,hostages-18:recipient
Bane-12,throw-16,off-19:verb_complement
Bane-12,throw-16,hostages-18:recipient
Foley-1,shouts-2,orders-3:recipient
officers-6,jump-7,cars-10:modified_to
Foley-1,shouts-2,orders-3:recipient
officers-6,speed-12,away-13:modifier
Foley-1,shouts-2,orders-3:recipient
tires-15,screeching-16,<NULL>
Foley-1,shouts-2,orders-3:recipient
officers-19,give-20,chase-21:recipient
Bane-1,'s-4,race-6:recipient
car-10,catches-23,on-24:verb_complement
car-10,catches-23,men-26:attachment
Kelly_Brent_Briscoe-22,driven-12,<NULL>
Simon_Jansen_Will_Estes-16,driven-12,<NULL>
men-2,enter-3,tunnel-5:recipient
Kelly-14,have-17,not-16:negative
Kelly-14,have-17,shot-20:recipient
<NULL>,does-15,<NULL>
Jansen-1,tells-2,Kelly-3:recipient
<NULL>,does-15,<NULL>
<NULL>,riding-5,shotgun-6:recipient
<NULL>,drop-8,back-9:verb_complement
Jansen-3,notices-4,Suddenly-1:modifier
Jansen-3,notices-4,lights-7:recipient
Jansen-3,notices-4,men-9:support
themselves-13,going-10,out-11:verb_complement
tunnel-2,goes-3,dark-4:object
engine-11,cut-15,seconds-20:destination
engine-11,cut-15,off-16:verb_complement
engine-11,cut-15,suddenly-14:modifier
battery-13,cut-15,seconds-20:destination
battery-13,cut-15,off-16:verb_complement
battery-13,cut-15,suddenly-14:modifier
Something-1,tells-11,partner-14:recipient
You-18,are-19,tonight-24:destination
You-18,are-19,in-20:dependent
motorcycle-6,sputters-8,later-2:modifier
motorcycle-6,sputters-8,out-9:verb_complement
motorcycle-6,sputters-8,suddenly-7:modifier
hostage-10,makes-11,break-13:recipient
Petrov-2,comes-3,stop-6:attachment
Batman-14,slams-15,Batman-17:modified_to
Batman-14,slams-15,when-13:modifier
Petrov-1,aims-2,pistol-5:recipient
<NULL>,preparing-7,<NULL>
Petrov-1,climbs-3,then-2:modifier
Petrov-1,climbs-3,back-4:verb_complement
shorts-15,aims-9,<NULL>
gun-12,aims-9,<NULL>
Jansen-5,shoots-6,then-2:modifier
Jansen-5,shoots-6,Just-1:modifier
Jansen-5,shoots-6,weapon-9:recipient
him-8,back-9,car-12:is_participant_in
they-17,drive-18,off-19:verb_complement
Foley-9,jumps-10,cruiser-14:modified_to
they-22,focusing-25,should-23:modal_verb
Blake-20,believes-21,even-18:modifier
orders-6,brought-9,in-10:verb_complement
orders-6,brought-9,eager-12:dependent
Blake-20,believes-21,even-18:modifier
<NULL>,take-14,down-15:verb_complement
<NULL>,take-14,Batman-16:recipient
<NULL>,escaping-30,<NULL>
Blake-20,believes-21,even-18:modifier
they-2,drive-3,<NULL>
<NULL>,stopping-27,Bane-28:recipient
program-19,has-22,potential-24:recipient
Selina-7,breaks-8,record-29:modified_to
chase-4,unfolds-5,<NULL>
goggles-6,look-11,<NULL>
Kyle-16,using-19,when-15:modifier
Kyle-16,using-19,they-20:recipient
Kyle-16,using-19,not-18:negative
<NULL>,safecracking-5,<NULL>
goggles-6,look-11,<NULL>
Kyle-16,using-19,when-15:modifier
Kyle-16,using-19,they-20:recipient
Kyle-16,using-19,not-18:negative
Kyle-1,using-3,goggles-6:recipient
goggles-6,look-11,<NULL>
Kyle-16,using-19,when-15:modifier
Kyle-16,using-19,they-20:recipient
Kyle-16,using-19,not-18:negative
goggles-6,flip-8,up-9:verb_complement
Kyle-7,is-8,<NULL>
Kyle-7,find-11,<NULL>
Kyle-2,opens-3,safe-5:recipient
Kyle-2,opens-3,When-1:modifier
Kyle-7,is-14,<NULL>
application-16,is-17,<NULL>
Bane-11,notices-12,<NULL>
Batman-2,chases-3,McGarrity-6:recipient
Batman-2,chases-3,Bane-4:recipient
<NULL>,makes-13,then-12:modifier
<NULL>,makes-13,uturn-16:recipient
<NULL>,closing-4,in-5:verb_complement
<NULL>,makes-13,then-12:modifier
<NULL>,makes-13,uturn-16:recipient
Bane-7,signals-8,McGarrity-10:attachment
orders-14,stay-23,instead-22:modifier
orders-14,stay-23,on-24:verb_complement
orders-14,stay-23,trail-27:recipient
orders-14,go-20,<NULL>
orders-14,stay-23,instead-22:modifier
orders-14,stay-23,on-24:verb_complement
orders-14,stay-23,trail-27:recipient
officers-16,let-18,Bane-19:recipient
orders-14,stay-23,instead-22:modifier
orders-14,stay-23,on-24:verb_complement
orders-14,stay-23,trail-27:recipient
officer-3,reports-4,Foley-7:attachment
Bane-5,is-6,<NULL>
<NULL>,doing-23,glance-26:recipient
<NULL>,trying-18,<NULL>
<NULL>,head-31,back-32:verb_complement
<NULL>,head-31,hideout-36:attachment
Bane-7,watches-8,chase-10:recipient
Bane-7,watches-8,spot-5:site
<NULL>,head-31,back-32:verb_complement
<NULL>,head-31,hideout-36:attachment
one-19,seen-21,Bane-22:recipient
one-19,seen-21,drain-29:modified_to
Batman-1,rescues-2,hostage-5:recipient
<NULL>,block-12,mercenary-14:recipient
Batman-1,uses-7,bike-10:recipient
Batman-1,steps-2,up-3:verb_complement
Batman-1,steps-2,McGarrity-5:attachment
Batman-1,shatters-7,visor-10:recipient
Batman-7,jumps-24,<NULL>
<NULL>,stopped-28,<NULL>
Batman-7,sets-15,then-14:modifier
Batman-7,sets-15,off-16:verb_complement
Batman-7,sets-15,explosion-18:recipient
Batman-7,jumps-24,<NULL>
<NULL>,stopped-28,<NULL>
Batman-7,grabs-8,drive-12:recipient
Batman-7,jumps-24,<NULL>
<NULL>,stopped-28,<NULL>
Batman-7,sets-15,then-14:modifier
Batman-7,sets-15,off-16:verb_complement
Batman-7,sets-15,explosion-18:recipient
Batman-7,jumps-24,<NULL>
<NULL>,stopped-28,<NULL>
police-3,surround-4,police-5:recipient
Batman-13,turns-14,alleyway-17:modified_to
police-7,box-8,him-9:recipient
Foley_Kelly-43,got-45,animal-48:recipient
Kelly-41,tells-42,<NULL>
<NULL>,humming-30,<NULL>
Kelly-41,tells-42,<NULL>
Kelly-41,tells-42,<NULL>
Foley-17,prepares-18,<NULL>
<NULL>,cornered-7,Batman-4:recipient
Kelly-41,tells-42,<NULL>
light-27,appears-32,end-35:site
noise-31,appears-32,end-35:site
Kelly-41,tells-42,<NULL>
It-1,appears-2,<NULL>
Bat-2,flies-6,out-7:verb_complement
Bat-2,flies-6,officers-12:recipient
Bat-2,emerges-3,<NULL>
Blake-1,asks-3,casually-2:modifier
Blake-1,asks-3,Foley-4:recipient
Blake-6,'s-7,<NULL>
<NULL>,was-10,<NULL>
Batman-11,flew-14,off-15:verb_complement
Batman-11,flew-14,just-13:modifier
Foley-3,shoves-4,Furious-1:modifier
Foley-3,shoves-4,hand-10:modified_to
Foley-3,shoves-4,megaphone-6:recipient
Stryver-6,reports-7,penthouse-4:site
<NULL>,captured-30,men-27:recipient
<NULL>,talking-34,<NULL>
men-27,die-32,will-31:modal_verb
Bane-22,assured-24,Bane-25:recipient
robbery-12,was-13,<NULL>
<NULL>,open-6,heads-9:recipient
<NULL>,open-6,office-13:attachment
<NULL>,open-6,champagne-7:recipient
Daggett-1,tells-2,servant-4:recipient
<NULL>,grasping-62,<NULL>
<NULL>,grasping-62,<NULL>
Selina-30,throws-39,room-43:destination/location
Selina-30,throws-39,servant-40:recipient
<NULL>,grasping-62,<NULL>
Selina-30,pins-45,servant-46:recipient
Selina-30,pins-45,arm-58:attachment
Selina-30,attacks-34,Daggett-35:recipient
<NULL>,grasping-62,<NULL>
<NULL>,grasping-62,<NULL>
Selina-30,throws-39,room-43:destination/location
Selina-30,throws-39,servant-40:recipient
<NULL>,grasping-62,<NULL>
Selina-30,pins-45,servant-46:recipient
Selina-30,pins-45,arm-58:attachment
girls-13,says-19,Careful-21:recipient
girls-13,says-19,promptly-18:modifier
<NULL>,grasping-62,<NULL>
<NULL>,grasping-62,<NULL>
Selina-30,throws-39,room-43:destination/location
Selina-30,throws-39,servant-40:recipient
<NULL>,grasping-62,<NULL>
Selina-30,pins-45,servant-46:recipient
Selina-30,pins-45,arm-58:attachment
servant-2,enters-3,office-5:recipient
<NULL>,grasping-62,<NULL>
<NULL>,grasping-62,<NULL>
Selina-30,throws-39,room-43:destination/location
Selina-30,throws-39,servant-40:recipient
<NULL>,grasping-62,<NULL>
Selina-30,pins-45,servant-46:recipient
Selina-30,pins-45,arm-58:attachment
we-10,get-11,<NULL>
<NULL>,grasping-62,<NULL>
<NULL>,grasping-62,<NULL>
Selina-30,throws-39,room-43:destination/location
Selina-30,throws-39,servant-40:recipient
<NULL>,grasping-62,<NULL>
Selina-30,pins-45,servant-46:recipient
Selina-30,pins-45,arm-58:attachment
Selina-30,appears-32,point-29:site
Selina-30,appears-32,suddenly-31:modifier
<NULL>,grasping-62,<NULL>
<NULL>,grasping-62,<NULL>
Selina-30,throws-39,room-43:destination/location
Selina-30,throws-39,servant-40:recipient
<NULL>,grasping-62,<NULL>
Selina-30,pins-45,servant-46:recipient
Selina-30,pins-45,arm-58:attachment
you-23,wish-24,Careful-21:with_respect_to
<NULL>,demands-2,<NULL>
program-9,is-10,where-5:modifier
Kyle-17,disarms-18,servant-19:recipient
<NULL>,stomping-21,heel-24:recipient
Stryver-1,puts-5,pistol-7:recipient
Stryver-1,puts-5,back-10:attachment
Stryver-1,comes-2,in-3:verb_complement
<NULL>,bursts-6,in-7:verb_complement
Selina-1,holds-2,off-4:verb_complement
Selina-1,holds-2,servant-3:recipient
<NULL>,aiming-6,pistol-8:recipient
<NULL>,aiming-6,while-12:site
<NULL>,collaring-13,Daggett-14:recipient
Kyle-17,lowers-18,Daggett-14:recipient
Kyle-17,lowers-18,ground-21:attachment
Kyle-17,lowers-18,Daggett-14:recipient
Kyle-17,lowers-18,ground-21:attachment
Kyle-1,jumps-8,platform-12:prep_onto
Kyle-1,shoots-2,window-5:recipient
Kyle-1,shoots-2,out-3:verb_complement
Selina-6,jams-12,neck-19:modified_to
Selina-6,jams-12,pistol-15:recipient
Selina-6,pins-7,down-9:verb_complement
Selina-6,pins-7,Daggett-8:recipient
servant-12,considered-13,Slate-9:recipient
servant-12,considered-13,myth-16:recipient
Daggett-1,admits-2,<NULL>
servant-12,considered-13,Slate-9:recipient
servant-12,considered-13,myth-16:recipient
servant-4,lied-5,Slate-9:location_of
Selina-2,takes-8,<NULL>
Selina-2,tries-3,<NULL>
men-14,surround-15,Kyle-16:recipient
henchmen-21,ignore-22,Kyle-23:recipient
Kyle-1,grabs-2,Daggett-3:recipient
henchmen-21,ignore-22,Kyle-23:recipient
Kyle-1,tries-5,<NULL>
henchmen-21,ignore-22,Kyle-23:recipient
<NULL>,back-17,off-18:verb_complement
Batman-1,appears-2,<NULL>
Selina-7,attack-8,mercenaries-10:recipient
Batman-5,attack-8,mercenaries-10:recipient
Selina-1,is-2,<NULL>
<NULL>,'s-13,<NULL>
Kyle-12,shoot-16,henchman-18:recipient
Batman-5,disarms-6,Kyle-7:recipient
Batman-5,disarms-6,when-4:modifier
Batman-16,run-20,edge-23:direction
Selina-18,run-20,edge-23:direction
<NULL>,forcing-15,Batman-16:recipient
<NULL>,forcing-15,Selina-18:recipient
Batman-16,run-20,edge-23:direction
Selina-18,run-20,edge-23:direction
Barsad-3,appear-8,Suddenly-1:modifier
Barsad-3,appear-8,fire-11:recipient
mercenaries-7,appear-8,Suddenly-1:modifier
mercenaries-7,appear-8,fire-11:recipient
Batman-16,run-20,edge-23:direction
Selina-18,run-20,edge-23:direction
<NULL>,forcing-15,Batman-16:recipient
<NULL>,forcing-15,Selina-18:recipient
Batman-16,run-20,edge-23:direction
Selina-18,run-20,edge-23:direction
Barsad-3,open-10,<NULL>
<NULL>,parked-11,ledge-15:prep_below
Batman-1,jumps-2,Bat-9:modified_to
Batman-1,jumps-2,roof-5:away_from_location
Bane-14,approaching-15,Kyle-16:recipient
Kyle-12,sees-13,when-11:modifier
Kyle-12,sees-13,jump-10:time
Selina-1,makes-8,jump-10:recipient
Selina-1,hesitates-2,moment-5:destination
Bane-1,watch-4,only-3:modifier
Bane-1,watch-4,can-2:modal_verb
Bat-7,flies-8,away-9:verb_complement
Selina-1,is-2,<NULL>
<NULL>,giving-15,thank-17:recipient
<NULL>,giving-15,you-18:recipient
Bane-5,tried-6,Bane-20:attachment
Selina-7,learns-14,<NULL>
Bruce-1,manages-2,<NULL>
Daggett-16,was-17,<NULL>
Selina-7,did-8,what-6:recipient
<NULL>,forced-12,However-1:modifier
<NULL>,forced-12,Bruce-10:recipient
shines-24,flying-22,<NULL>
Bruce-10,duck-14,<NULL>
Bruce-4,find-6,out-7:verb_complement
Bruce-4,find-6,can-5:modal_verb
Selina-7,vanished-9,<NULL>
Bruce-2,looks-3,up-5:modifier
Bruce-2,looks-3,When-1:modifier
<NULL>,'s-3,So-1:dependent
Bruce-9,says-10,himself-12:attachment
what-4,feels-6,more-5:modifier
scan-22,is-23,also-17:modifier
Batman-7,leads-8,spat-11:attachment
<NULL>,return-5,<NULL>
spat-11,is-16,<NULL>
Bruce-18,has-19,death-21:recipient
decision-3,wish-22,<NULL>
<NULL>,given-21,<NULL>
Alfred-1,leaves-2,mansion-6:recipient
Alfred-1,leaves-2,Bruce-3:recipient
Rachel-16,chose-17,Harvey_Dent-18:recipient
<NULL>,protect-7,pain-10:raw_material
<NULL>,protect-7,Bruce-8:recipient
Alfred-1,burned-3,letter-5:recipient
Wayne_Enterprises-26,fall-30,hands-34:modified_to
<NULL>,meaning-25,<NULL>
Bruce-5,learns-6,Fox-8:origin_value
Bruce-5,learns-6,morning-3:time
<NULL>,is-27,<NULL>
Wayne_Enterprises-26,fall-30,hands-34:modified_to
<NULL>,meaning-25,<NULL>
Bane-17,made-18,course-12:is_participant_in
Bane-17,made-18,Wayne_Enterprises-23:attachment
Bane-17,made-18,trades-20:recipient
Fox-8,show-9,reactor-13:recipient
Fox-8,show-9,Miranda-10:recipient
Bruce-6,show-9,reactor-13:recipient
Bruce-6,show-9,Miranda-10:recipient
<NULL>,protect-2,secret-4:recipient
<NULL>,generating-9,energy-11:recipient
<NULL>,generating-9,city-15:destination
Fox-1,intend-4,<NULL>
Miranda-3,intend-4,<NULL>
Bruce-18,is-19,<NULL>
Pavel-1,managed-2,<NULL>
None-1,are-4,<NULL>
Bane-7,kidnapped-11,fact-10:is_participant_in
Bane-7,kidnapped-11,Dr-12:recipient
<NULL>,hidden-4,reactor-2:recipient
<NULL>,hidden-4,chamber-7:is_participant_in
Bruce-1,wants-2,Miranda-3:recipient
<NULL>,booted-4,later-3:modifier
<NULL>,booted-4,Bruce-1:recipient
<NULL>,booted-4,meeting-10:object
<NULL>,booted-4,behest-14:site
Bruce-7,finds-8,car-11:recipient
Bruce-2,leaves-3,building-5:recipient
<NULL>,towed-13,<NULL>
Blake-1,offers-5,Bruce-6:recipient
Blake-1,offers-5,ride-8:recipient
Blake-1,shows-2,up-3:verb_complement
Daggett-1,is-2,<NULL>
Blake-15,returns-16,apartment-20:attachment
Blake-15,returns-16,when-14:modifier
<NULL>,appointed-8,Miranda_Tate-6:recipient
<NULL>,appointed-8,board-11:attachment
Blake-22,demands-23,<NULL>
Bane-5,appears-7,suddenly-6:modifier
Bane-5,appears-7,Daggett-9:support
Stryver-1,hesitates-2,<NULL>
Daggett-1,turns-2,anger-5:recipient
Bane-37,working-41,crews-45:recipient
Bane-37,working-41,also-38:modifier
<NULL>,is-30,<NULL>
Daggett-22,take-23,<NULL>
attack-14,help-21,not-20:negative
anger-26,was-27,only-28:modifier
anger-26,was-27,machinery-32:destination
<NULL>,revealing-8,casually-7:modifier
Bane-34,required-35,<NULL>
anger-26,was-27,only-28:modifier
anger-26,was-27,machinery-32:destination
Bane-15,give-18,Bane-19:recipient
Bane-15,give-18,power-21:recipient
Bane-15,give-18,not-17:negative
anger-26,was-27,only-28:modifier
anger-26,was-27,machinery-32:destination
Daggett-13,paid-14,<NULL>
anger-26,was-27,only-28:modifier
anger-26,was-27,machinery-32:destination
Bane-1,dismisses-2,Stryver-3:recipient
orders-55,render-58,reckoning-62:recipient
Bane-50,complied-51,<NULL>
Bane-8,replies-9,<NULL>
Daggett-1,calls-2,evil-5:recipient
Bane-11,is-12,<NULL>
Bane-16,breaks-17,neck-20:recipient
evil-14,breaks-17,neck-20:recipient
<NULL>,thrown-6,dumpster-9:is_participant_in
Bane-1,has-3,then-2:modifier
Bane-1,has-3,body-5:recipient
Blake-22,suspect-23,<NULL>
files-3,show-5,name-8:recipient
files-3,show-5,city-18:destination/location
city-18,make-21,<NULL>
Blake-1,has-2,files-3:recipient
<NULL>,associated-28,Daggett-25:recipient
<NULL>,associated-28,somehow-27:modifier
Foley-1,is-3,<NULL>
Gordon-11,promotes-22,detective-25:attachment
Gordon-11,promotes-22,Gordon-23:recipient
<NULL>,impressed-13,<NULL>
<NULL>,allowed-31,not-30:negative
<NULL>,allowed-31,Gordon_Gordon-28:recipient
friend-12,needs-13,help-15:recipient
Bruce-1,says-8,<NULL>
Bruce-1,finds-2,Selina-3:recipient
Bruce-11,has-12,program-13:recipient
Bruce-1,says-2,<NULL>
Bruce-11,has-12,program-13:recipient
Bruce-3,knows-4,program-9:location_of
Kyle-3,think-5,program-7:location_of
Kyle-3,think-5,will-4:modal_verb
Selina-1,says-2,<NULL>
<NULL>,losing-7,<NULL>
Kyle-1,apologizes-2,Bruce-4:attachment
Kyle-1,apologizes-2,Bruce-6:location_of
Bruce-9,finds-10,<NULL>
Bruce-2,arrives-3,home-4:recipient
Bruce-2,arrives-3,When-1:modifier
Bruce-3,have-6,not-5:negative
Bruce-3,have-6,keys-8:recipient
Bruce-1,finds-2,so-10:dependent
<NULL>,is-4,<NULL>
Bruce-8,afford-11,anymore-13:modifier
Bruce-8,afford-11,not-10:negative
Bruce-8,afford-11,electricity-12:recipient
Bruce-8,afford-11,ca-9:modal_verb
fire-10,made-11,how-9:modifier
family-13,feel-14,rich-15:object
they-17,growing-19,when-16:modifier
they-17,growing-19,up-20:verb_complement
Miranda-6,talks-7,<NULL>
they-2,sleep-3,together-4:modifier
family-10,calls-11,mistake-13:recipient
Bruce-1,notices-2,scar-4:recipient
Bruce-6,sneaks-7,down-8:verb_complement
Bruce-6,sneaks-7,Batcave-11:attachment
Bruce-6,puts-13,<NULL>
Bruce-6,goes-20,<NULL>
Selina-24,says-27,<NULL>
Miranda-2,sleeping-4,<NULL>
Wayne-29,lying-32,not-31:negative
Wayne-29,lying-32,friend-37:location_of
they-1,take-2,couple-5:recipient
they-1,take-2,out-3:verb_complement
Kyle-17,had-18,<NULL>
Selina-14,admits-15,<NULL>
slams-10,shut-11,<NULL>
Selina-14,admits-15,<NULL>
Batman-2,steps-3,catwalk-6:prep_onto
<NULL>,killing-25,Kyle-26:recipient
Batman-1,telling-3,<NULL>
Kyle_Kyle-4,made-6,mistake-8:recipient
Bane-10,appears-11,Batman-13:support
Bane-10,appears-11,when-9:modifier
Batman-1,is-2,<NULL>
Bane-6,reveals-7,when-5:modifier
Bane-9,knows-10,Bruce-14:recipient
Bane-1,know-3,must-2:modal_verb
Bane-1,know-3,identity-6:recipient
Bane-17,had-27,information-29:recipient
Bane-17,had-27,must-25:modal_verb
Bane-12,claims-13,<NULL>
<NULL>,reported-35,Bruce-37:attachment
Bane-17,is-18,League-20:recipient
<NULL>,excommunicated-4,arrival-8:is_before_location
<NULL>,excommunicated-4,Bane-2:recipient
<NULL>,survived-47,Begins-54:is_participant_in
