film-2,opens-3,Tara-5:is_participant_in
captain-10,departs-15,<NULL>
<NULL>,revealing-9,<NULL>
Rhett-1,drops-2,curtain-4:recipient
Rhett-1,drops-2,sobers-7:recipient
skirmish-13,was-11,<NULL>
men-14,attacked-16,<NULL>
Scarlett-17,are-18,<NULL>
<NULL>,wounded-3,Ashley-1:recipient
Scarlett-6,neglects-7,<NULL>
<NULL>,worried-2,Ashley-4:location_of
<NULL>,worried-2,More-1:modifier
<NULL>,lying-16,road-20:is_participant_in
<NULL>,lying-16,dead-17:verb_complement
Rhett-1,mentions-3,finally-2:modifier
<NULL>,is-12,<NULL>
<NULL>,lying-16,road-20:is_participant_in
<NULL>,lying-16,dead-17:verb_complement
<NULL>,killed-7,skirmish-10:is_participant_in
<NULL>,killed-7,Butler-5:recipient
men-15,stay-16,trouble-19:object
<NULL>,helping-13,<NULL>
<NULL>,backing-21,alibi-25:recipient
<NULL>,backing-21,up-22:verb_complement
Melanie-5,meets-6,<NULL>
Melanie-4,has-5,son-7:recipient
Melanie-4,helped-12,men-14:recipient
<NULL>,studying-8,up-9:verb_complement
<NULL>,studying-8,North-10:recipient
Melanie-4,helped-12,men-14:recipient
Belle-1,says-2,<NULL>
Belle-1,cautions-2,Melanie-3:recipient
<NULL>,damage-16,would-15:modal_verb
<NULL>,damage-16,reputation-19:recipient
Melanie-24,speak-29,<NULL>
<NULL>,speaking-5,Melanie-7:attachment
Melanie-21,persists-22,<NULL>
Melanie-24,be-26,<NULL>
Rhett-5,visits-6,later-4:modifier
Rhett-5,visits-6,Scarlett-7:recipient
widow-4,drinking-7,heavily-8:modifier
Butler-1,realizes-2,<NULL>
widow-5,love-8,will-6:modal_verb
widow-5,love-8,Butler-9:recipient
widow-5,love-8,never-7:negative
widow-11,'s-12,love-14:is_participant_in
widow-1,tells-2,Rhett-3:recipient
widow-20,marry-22,will-21:modal_verb
widow-20,marry-22,Butler-23:recipient
Butler-15,marries-16,anyway-18:modifier
Butler-15,marries-16,widow-17:recipient
<NULL>,are-5,<NULL>
Butler-15,marries-16,anyway-18:modifier
Butler-15,marries-16,widow-17:recipient
Rhett-1,says-2,<NULL>
Scarlett-16,use-18,can-17:modal_verb
Scarlett-16,use-18,so-14:modifier
Scarlett-16,use-18,riches-21:recipient
Rhett-1,have-4,honeymoon-7:recipient
Scarlett-3,have-4,honeymoon-7:recipient
Rhett-1,buys-3,mansion-6:recipient
Rhett-1,buys-3,also-2:modifier
they-3,have-4,time-2:is_participant_in
they-3,have-4,child-6:recipient
names-10,Bonnie_Blue_Butler-11,child-6:recipient
Scarlett-7,becomes-8,depressed-9:object
<NULL>,waning-12,<NULL>
daughter-5,sleep-14,longer-13:modifier
daughter-5,sleep-14,will-11:modal_verb
daughter-1,informs-2,Rhett-3:recipient
daughter-5,sleep-14,longer-13:modifier
daughter-5,sleep-14,will-11:modal_verb
daughter-5,wants-6,children-9:recipient
Rhett-3,storms-4,Furious-1:modifier
Rhett-3,storms-4,out-5:verb_complement
<NULL>,keep-17,order-15:dependent
<NULL>,keep-17,up-18:verb_complement
<NULL>,keep-17,appearances-20:recipient
Butler-2,has-3,grounds-4:recipient
Rhett-8,continues-9,<NULL>
Bonnie-1,becomes-2,<NULL>
<NULL>,riding-27,lessons-28:recipient
<NULL>,including-23,<NULL>
<NULL>,riding-27,lessons-28:recipient
<NULL>,spoiling-13,child-14:recipient
<NULL>,riding-27,lessons-28:recipient
<NULL>,including-23,<NULL>
<NULL>,riding-27,lessons-28:recipient
Rhett-7,dotes-8,<NULL>
<NULL>,riding-27,lessons-28:recipient
<NULL>,including-23,<NULL>
<NULL>,riding-27,lessons-28:recipient
<NULL>,giving-16,child-17:recipient
Meade_Leona_Roberts-1,discover-2,Ashley-5:recipient
rumors-11,fly-13,will-12:modal_verb
Scarlett-8,knows-9,<NULL>
hug-3,was-4,<NULL>
Rhett-9,forces-17,Scarlett-18:recipient
night-2,is-3,party-7:recipient
<NULL>,considered-30,would-28:modal_verb
<NULL>,considered-30,occasion-35:destination
<NULL>,considered-30,inappropriate-32:object
<NULL>,considered-30,dress-26:recipient
Rhett-9,heard-13,gossip-15:recipient
Melanie-1,is-2,person-5:recipient
person-5,welcomes-7,Scarlett-8:recipient
Scarlett-7,finds-8,Back-1:modifier
time-9,refuses-12,<NULL>
Rhett-11,refuses-12,<NULL>
Roberts-1,have-2,confrontation-5:recipient
Butler-1,carries-2,off-4:verb_complement
Butler-1,carries-2,Scarlett-3:recipient
Butler-1,carries-2,bedroom-7:attachment
Scarlett-5,seems-6,happy-8:object
Scarlett-5,seems-6,morning-3:time
mood-13,vanishes-14,<NULL>
Rhett-2,propose-7,<NULL>
mood-13,vanishes-14,<NULL>
Rhett-2,arrives-3,When-1:modifier
Rhett-1,insists-10,<NULL>
<NULL>,taking-12,Bonnie-13:recipient
<NULL>,taking-12,away-14:verb_complement
Rhett-1,promises-2,<NULL>
Scarlett-1,rejects-2,offer-5:recipient
offer-8,be-10,disgrace-12:recipient
Rhett-1,takes-13,Bonnie-14:recipient
Rhett-1,leaves-3,then-2:modifier
Rhett-1,leaves-3,England-11:attachment
Bonnie_Cammie_King_Conlon-4,sleep-10,dark-13:is_participant_in
Bonnie_Cammie_King_Conlon-4,sleep-10,not-9:negative
Bonnie_Cammie_King_Conlon-4,sleep-10,ca-8:modal_verb
Bonnie_Cammie_King_Conlon-4,has-5,London-2:is_participant_in
Bonnie_Cammie_King_Conlon-4,has-5,nightmares-6:recipient
Lillian_KembleCooper-5,believes-6,<NULL>
Bonnie-22,sleep-23,<NULL>
KembleCooper-19,sleep-23,<NULL>
ordeal-9,build-11,will-10:modal_verb
ordeal-9,build-11,character-15:recipient
Bonnie-3,begs-4,<NULL>
Bonnie-13,'s-14,<NULL>
Scarlett-9,tells-10,Butler-11:recipient
Rhett-2,return-5,Atlanta-7:attachment
Rhett-2,return-5,When-1:modifier
Bonnie-4,return-5,Atlanta-7:attachment
Bonnie-4,return-5,When-1:modifier
Rhett-22,retorts-23,baby-17:attachment
Bonnie-11,wishes-12,<NULL>
<NULL>,saying-10,<NULL>
Rhett-1,reacts-2,<NULL>
you-26,have-28,accident-30:recipient
you-26,have-28,Maybe-25:modifier
you-26,have-28,will-27:modal_verb
ups-6,were-15,baby-17:recipient
swing-16,dodges-20,row-21:recipient
Scarlett-12,takes-13,swing-16:recipient
Scarlett-12,takes-13,row-4:is_participant_in
<NULL>,ensuing-3,<NULL>
Scarlett-4,lose-11,baby-13:recipient
momentum-2,causes-3,Scarlett-4:recipient
Rhett-14,makes-15,behest-5:site
Rhett-14,makes-15,Later-1:modifier
Rhett-14,makes-15,effort-17:recipient
behest-5,become-10,pregnant-11:object
behest-5,become-10,again-12:modifier
<NULL>,be-19,<NULL>
<NULL>,jumping-17,fence-19:recipient
Bonnie-13,insists-14,moment-11:site
Bonnie-13,insists-14,stubbornly-15:modifier
Bonnie-13,insists-14,when-7:modifier
reconciliation-2,begins-3,<NULL>
Scarlett-1,remembers-2,death-6:recipient
Scarlett-1,has-8,premonition-10:recipient
Bonnie-1,throws-14,Bonnie-15:recipient
Bonnie-1,throws-14,fatally-13:modifier
fears-3,come-4,true-5:object
Bonnie-1,throws-14,Bonnie-15:recipient
Bonnie-1,throws-14,fatally-13:modifier
Bonnie-1,refuses-9,<NULL>
Mammy-11,relays-15,tearfully-14:modifier
Mammy-11,relays-15,events-20:recipient
Mammy-11,relays-15,tearfully-14:modifier
Mammy-11,relays-15,events-20:recipient
Mammy-11,led-8,Melanie-1:recipient
Melanie-1,arrives-2,mansion-5:site
Melanie-2,goes-10,<NULL>
Melanie-2,collapses-8,labor-12:modified_to
doctor-10,determines-11,<NULL>
Melanie-13,dying-15,bleeding-18:performer
Melanie-8,asks-9,Melanie-10:recipient
Melanie-8,asks-9,meeting-4:is_participant_in
man-12,tells-13,Scarlett-14:recipient
man-10,tells-13,Scarlett-14:recipient
Melanie-2,dies-3,When-1:modifier
love-22,realizes-32,then-31:modifier
man-44,been-46,<NULL>
man-34,wish-42,only-41:modifier
man-34,wish-42,can-40:modal_verb
man-34,loved-37,never-35:negative
man-34,loved-37,really-36:modifier
man-34,loved-37,Ashley-38:recipient
<NULL>,left-7,Ashley-5:recipient
Melanie-16,was-17,love-22:recipient
<NULL>,had-45,<NULL>
Rhett-1,stalks-8,home-16:attachment
Rhett-1,stalks-8,off-9:verb_complement
<NULL>,seeking-6,Rhett-7:recipient
Scarlett-1,returns-2,mansion-5:attachment
Rhett-11,tells-12,Ashley-13:recipient
<NULL>,saving-34,<NULL>
Ashley-19,loves-20,Rhett-21:recipient
Ashley-19,loved-25,never-23:negative
Ashley-19,loved-25,truly-24:modifier
Scarlett-12,insists-13,<NULL>
Rhett-2,begins-3,<NULL>
Ashley-15,realizes-17,now-16:modifier
<NULL>,leave-10,<NULL>
chance-32,died-37,<NULL>
Butler-48,tolerated-50,drama-53:recipient
Butler-48,tolerated-50,enough-55:modifier
Rhett-28,maintains-29,<NULL>
Ashley-26,maintains-29,<NULL>
<NULL>,asking-17,<NULL>
Scarlett-24,leaves-25,<NULL>
what-18,happen-20,Ashley-22:attachment
what-18,happen-20,will-19:modal_verb
Scarlett-10,begs-11,Scarlett-12:recipient
Scarlett-10,begs-11,time-15:recipient
<NULL>,asking-17,<NULL>
Scarlett-24,leaves-25,<NULL>
what-18,happen-20,Ashley-22:attachment
what-18,happen-20,will-19:modal_verb
Scarlett-2,prepares-3,<NULL>
I-11,give-14,not-13:negative
I-11,give-14,damn-16:recipient
<NULL>,do-12,<NULL>
Rhett-3,replies-4,Frankly-6:modifier
<NULL>,strides-2,fog-10:modified_to
<NULL>,strides-2,house-6:object
Scarlett-1,collapses-2,<NULL>
She-8,thinks-9,despair-5:time
She-8,thinks-9,when-7:modifier
She-1,pulls-2,back-3:verb_complement
She-1,pulls-2,despair-5:raw_material
<NULL>,facing-61,future-68:recipient
<NULL>,facing-61,now-60:modifier
<NULL>,determined-3,Scarlett-1:recipient
<NULL>,facing-61,future-68:recipient
<NULL>,facing-61,now-60:modifier
herself-24,arrived-53,home-58:site
herself-24,arrived-53,back-54:verb_complement
<NULL>,facing-61,future-68:recipient
<NULL>,facing-61,now-60:modifier
<NULL>,saying-22,<NULL>
<NULL>,facing-61,future-68:recipient
<NULL>,facing-61,now-60:modifier
Scarlett-40,silhouetted-41,Tara-43:object
<NULL>,facing-61,future-68:recipient
<NULL>,facing-61,now-60:modifier
sun-46,sets-47,<NULL>
<NULL>,is-30,<NULL>
<NULL>,facing-61,future-68:recipient
<NULL>,facing-61,now-60:modifier
we-38,see-39,shot-36:is_participant_in
