Sights-1,flash-7,screen-10:destination/location
Austrian-10,cares-13,longer-12:modifier
Austrian-1,believes-2,<NULL>
Austrian-12,says-13,<NULL>
<NULL>,killed-19,would-16:modal_verb
<NULL>,killed-19,even-18:modifier
justice-5,was-4,<NULL>
Austrian-1,tells-3,Anna-4:recipient
Austrian-1,tells-3,also-2:modifier
<NULL>,fallen-8,Austrian-6:recipient
<NULL>,fallen-8,love-10:is_participant_in
Schmidt-15,makes-16,<NULL>
death-17,is-22,<NULL>
Schmidt-27,thinks-28,only-29:modifier
Austrian-17,sees-18,man-21:recipient
Holly-6,stumbles-7,drunk-4:dependent
Holly-6,stumbles-7,outside-8:modifier
Holly-6,stumbles-7,still-3:dependent
Holly-6,stumbles-7,Disappointed-1:dependent
<NULL>,standing-22,feet-34:site
<NULL>,standing-22,still-30:modifier
<NULL>,standing-22,doorway-26:is_participant_in
<NULL>,does-15,<NULL>
<NULL>,spying-7,<NULL>
<NULL>,does-15,<NULL>
<NULL>,show-10,himself-11:recipient
Austrian-14,move-17,not-16:negative
<NULL>,does-15,<NULL>
Holly-1,shouts-2,<NULL>
<NULL>,does-15,<NULL>
<NULL>,Austrian-4,<NULL>
<NULL>,does-15,<NULL>
<NULL>,stop-6,<NULL>
noise-3,causes-4,upstairs-7:recipient
<NULL>,be-22,<NULL>
light-2,shines-8,down-9:verb_complement
light-2,shines-8,street-12:modified_to
<NULL>,be-21,<NULL>
woman-13,turns-14,off-15:verb_complement
woman-13,turns-14,when-11:modifier
woman-13,turns-14,light-17:recipient
Harry-1,slips-9,<NULL>
Harry-1,smiles-2,Holly-6:site
Holly-12,takes-13,pursuit-14:recipient
Holly-18,reaches-19,end-21:recipient
sound-4,opens-11,plaza-14:modified_to
<NULL>,gone-29,Harry-26:recipient
<NULL>,gone-29,already-28:modifier
Holly-18,reaches-19,end-21:recipient
Harry-1,follows-2,sound-4:recipient
Calloway-15,are-16,<NULL>
Holly-1,brings-2,Calloway-3:recipient
Holly-1,brings-2,Paine-5:recipient
Calloway-15,are-16,<NULL>
<NULL>,reenact-10,events-12:recipient
bulb-6,goes-7,However-1:modifier
bulb-6,goes-7,suddenly-3:modifier
bulb-6,goes-7,Calloway-10:with_respect_to
bulb-6,goes-7,off-8:verb_complement
Calloway-12,eyes-13,booth-15:recipient
Holly-10,is-13,entranceway-15:recipient
<NULL>,leading-23,downwards-24:recipient
Calloway-8,shows-9,Holly-10:recipient
Calloway-10,see-11,where-9:modifier
Calloway-10,see-11,range-14:recipient
range-14,use-20,<NULL>
Calloway-1,follow-2,sewers-7:time_inside
Calloway-1,follow-2,stairs-4:recipient
<NULL>,excavate-9,grave-12:recipient
Calloway-4,leads-5,team-7:recipient
Calloway-4,leads-5,night-2:time
<NULL>,crying-16,pajamas-21:is_participant_in
police-3,lies-13,bed-15:is_participant_in
<NULL>,come-4,apartment-8:attachment
<NULL>,come-4,police-10:destination
Anna-1,assumes-3,surely-2:modifier
<NULL>,is-5,<NULL>
Holly-9,yells-13,Schmidt-15:site
Holly-9,sees-10,Schmidt-11:recipient
Holly-9,yells-13,Schmidt-15:site
<NULL>,led-4,station-7:modified_to
<NULL>,led-4,Schmidt-2:recipient
Austrian-17,seen-19,<NULL>
Calloway-17,instructs-18,police-19:recipient
police-9,lead-10,Schmidt-11:recipient
Calloway-17,instructs-18,police-19:recipient
Calloway-1,standing-3,hallway-6:is_participant_in
<NULL>,asking-6,<NULL>
Schmidt-8,saw-9,last-11:modifier
Schmidt-8,saw-9,Lime-10:recipient
Schmidt-8,saw-9,when-7:modifier
Calloway-1,interrogates-2,<NULL>
Schmidt-16,asks-17,<NULL>
<NULL>,mean-9,<NULL>
Schmidt-16,asks-17,<NULL>
Schmidt-5,realizes-6,<NULL>
Schmidt-16,asks-17,<NULL>
Harry-11,is-12,<NULL>
Schmidt-16,asks-17,<NULL>
Schmidt-1,looks-2,<NULL>
Harry-19,is-20,where-18:modifier
it-8,is-9,<NULL>
Calloway-1,thinks-2,<NULL>
it-8,was-12,<NULL>
<NULL>,has-16,<NULL>
it-8,been-17,<NULL>
it-8,is-9,<NULL>
Schmidt-3,know-5,might-4:modal_verb
Russians-28,interrogate-34,Schmidt-35:recipient
<NULL>,are-31,<NULL>
Calloway-22,help-24,will-23:modal_verb
Calloway-22,help-24,Schmidt-25:recipient
Russians-28,interrogate-34,Schmidt-35:recipient
<NULL>,are-31,<NULL>
Schmidt-16,helps-17,<NULL>
Russians-28,interrogate-34,Schmidt-35:recipient
Russians-28,interrogate-34,Schmidt-35:recipient
<NULL>,are-31,<NULL>
<NULL>,catch-19,Lime-20:recipient
<NULL>,are-31,<NULL>
<NULL>,know-4,<NULL>
Russians-28,interrogate-34,Schmidt-35:recipient
<NULL>,are-31,<NULL>
Calloway-22,help-24,will-23:modal_verb
Calloway-22,help-24,Schmidt-25:recipient
Russians-28,interrogate-34,Schmidt-35:recipient
<NULL>,are-31,<NULL>
Schmidt-16,helps-17,<NULL>
Russians-28,interrogate-34,Schmidt-35:recipient
Russians-28,interrogate-34,Schmidt-35:recipient
<NULL>,are-31,<NULL>
<NULL>,catch-19,Lime-20:recipient
<NULL>,are-31,<NULL>
Harry-5,hiding-7,sector-11:is_participant_in
Russians-28,interrogate-34,Schmidt-35:recipient
<NULL>,are-31,<NULL>
Calloway-22,help-24,will-23:modal_verb
Calloway-22,help-24,Schmidt-25:recipient
Russians-28,interrogate-34,Schmidt-35:recipient
<NULL>,are-31,<NULL>
Schmidt-16,helps-17,<NULL>
Russians-28,interrogate-34,Schmidt-35:recipient
Russians-28,interrogate-34,Schmidt-35:recipient
<NULL>,are-31,<NULL>
<NULL>,catch-19,Lime-20:recipient
<NULL>,are-31,<NULL>
Calloway-1,says-2,<NULL>
<NULL>,catch-15,Calloway-16:recipient
<NULL>,catch-15,eventually-17:modifier
<NULL>,catch-15,will-14:modal_verb
Calloway-10,tells-11,Schmidt-12:recipient
Schmidt-1,help-4,though-7:modifier
Schmidt-1,help-4,not-3:negative
Schmidt-1,help-4,Calloway-5:recipient
Schmidt-1,help-4,can-2:modal_verb
Vienna-20,is-21,city-24:recipient
Calloway-7,was-8,<NULL>
Calloway-7,be-14,<NULL>
Schmidt-1,says-2,<NULL>
Schmidt-4,wishes-5,<NULL>
Holly-5,goes-6,morning-3:time
Austrian-17,shouts-18,back-19:verb_complement
Austrian-21,wants-22,<NULL>
Kurtz-1,invites-8,Holly-9:recipient
Kurtz-1,invites-8,up-10:verb_complement
Kurtz-1,looks-2,<NULL>
Holly-13,refuses-14,<NULL>
<NULL>,looks-15,<NULL>
<NULL>,concerned-14,<NULL>
Winkel-10,exchange-13,<NULL>
Kurtz-12,exchange-13,<NULL>
Winkel-1,comes-2,out-3:verb_complement
Winkel-1,comes-2,also-7:modifier
<NULL>,meet-13,Harry-14:recipient
Harry-11,come-12,<NULL>
Holly-8,insists-9,<NULL>
he-2,admit-3,nothing-4:recipient
he-1,go-2,ride-5:destination
<NULL>,paid-38,Harry-36:recipient
<NULL>,paid-38,dot-41:destination
<NULL>,paid-38,especially-34:modifier
<NULL>,stopped-30,<NULL>
Harry-1,shows-2,remorse-4:recipient
<NULL>,asking-11,Holly-12:recipient
<NULL>,asking-11,far-16:modifier
Harry-13,is-14,<NULL>
Holly-18,talking-21,cops-24:recipient
<NULL>,seeing-10,Harry-11:recipient
Holly-18,talking-21,cops-24:recipient
Austrian-5,told-6,police-8:recipient
Holly-18,talking-21,cops-24:recipient
Holly-2,reveals-3,When-1:modifier
<NULL>,throwing-12,wheel-18:object
<NULL>,throwing-12,Harry-13:recipient
<NULL>,throwing-12,death-22:attachment
<NULL>,throwing-12,wheel-18:object
<NULL>,throwing-12,Harry-13:recipient
<NULL>,throwing-12,death-22:attachment
Harry-1,considers-8,clearly-7:modifier
<NULL>,throwing-12,wheel-18:object
<NULL>,throwing-12,Harry-13:recipient
<NULL>,throwing-12,death-22:attachment
<NULL>,shooting-9,Harry-10:recipient
<NULL>,staring-3,Holly-5:site
Holly-1,takes-2,enough-5:modifier
payment-20,letting-23,<NULL>
Harry-5,was-6,one-8:recipient
one-8,informed-10,passport-18:location_of
one-8,informed-10,police-13:recipient
police-24,hide-25,sector-30:is_participant_in
police-24,hide-25,out-26:verb_complement
Harry-1,reveals-3,also-2:modifier
police-2,finish-3,ride-5:recipient
Harry-7,offers-8,<NULL>
<NULL>,waiting-20,answer-23:destination
Harry-25,leaves-26,quickly-27:modifier
police-32,meet-34,time-37:recipient
police-32,meet-34,again-35:modifier
police-32,meet-34,can-33:modal_verb
Harry-38,wants-39,<NULL>
Austrian-10,knows-11,<NULL>
Holly-1,tells-8,<NULL>
Harry-13,staying-15,where-12:modifier
Holly-1,goes-2,<NULL>
Major-2,tries-3,<NULL>
<NULL>,arranging-13,<NULL>
friend-8,done-10,wrong-11:object
Austrian-13,is-14,<NULL>
Austrian-13,be-17,one-19:recipient
Holly-4,knows-5,<NULL>
officer-6,comes-7,then-2:modifier
officer-6,comes-7,Just-1:modifier
officer-6,comes-7,in-8:verb_complement
Schmidt-18,be-20,<NULL>
Russian-22,says-23,<NULL>
Major-2,mentions-3,officer-5:attachment
police-32,get-34,eventually-39:modifier
police-32,get-34,will-33:modal_verb
police-32,get-34,case-38:attachment
<NULL>,related-29,not-28:negative
<NULL>,related-29,cases-26:recipient
Russian-22,says-23,<NULL>
<NULL>,supposed-10,Russians-8:recipient
officer-1,leaves-2,<NULL>
<NULL>,getting-23,Lime-24:recipient
Holly-27,staring-29,papers-33:site
<NULL>,resigned-4,Holly-6:attachment
<NULL>,resigned-4,seemingly-3:modifier
Holly-18,been-21,how-16:modifier
Holly-18,been-21,could-19:modal_verb
Calloway-1,talks-14,<NULL>
Austrian-14,tells-15,Austrian-16:object
price-4,pay-7,Calloway-6:modifier
price-4,pay-7,what-3:recipient
price-4,pay-7,would-5:modal_verb
price-4,pay-7,help-11:destination
<NULL>,name-18,help-19:recipient
Holly-1,asks-2,<NULL>
Paine-1,accompanies-2,Anna-3:recipient
train-7,save-10,Anna-11:recipient
train-7,save-10,will-9:modal_verb
train-7,save-10,authorities-15:raw_material
<NULL>,see-14,off-16:verb_complement
<NULL>,see-14,inconspicuously-17:modifier
<NULL>,see-14,Anna-15:recipient
<NULL>,trying-12,<NULL>
Anna-9,spies-10,Holly-11:recipient
Anna-3,settles-4,Just-1:modifier
Anna-3,settles-4,car-7:modified_to
<NULL>,getting-13,away-14:verb_complement
admits-2,agreed-5,Austrian-3:modifier
Schmidt-6,disgusted-8,<NULL>
Anna-1,makes-2,<NULL>
Anna-1,do-14,never-13:negative
Anna-1,do-14,could-12:modal_verb
Anna-1,do-14,anything-15:recipient
Schmidt-1,allows-11,train-13:recipient
<NULL>,depart-15,<NULL>
Schmidt-1,leaves-2,angrily-3:modifier
Austrian-1,shows-2,<NULL>
Calloway_Anna-3,torn-5,up-6:verb_complement
Calloway_Anna-3,torn-5,papers-7:recipient
Major-13,makes-14,stop-17:recipient
Calloway-1,agrees-2,<NULL>
way-1,is-2,ward-6:recipient
Calloway-12,shows-13,where-11:modifier
Holly-4,waits-5,cafe-3:site
<NULL>,arrested-22,Austrian-19:recipient
location-12,disclosed-13,Baron_Kurtz-17:time_between
location-12,disclosed-13,Schmidt-15:attachment
Anna-1,comes-2,cafe-5:modified_to
<NULL>,admonish-7,Holly-8:recipient
Harry-7,snuck-9,back-12:is_participant_in
Schmidt-2,talks-3,<NULL>
<NULL>,being-13,<NULL>
Schmidt-8,yells-9,informant-16:beneficiary
Schmidt-8,yells-9,Holly-11:site
Harry-3,enters-4,Just-1:modifier
Harry-3,enters-4,Anna-6:support
<NULL>,drawing-4,gun-6:recipient
<NULL>,shoot-8,Holly-9:recipient
Harry-1,reacts-2,<NULL>
Harry-11,escape-13,must-12:modal_verb
Anna-1,tells-8,Harry-9:recipient
police-16,get-18,Harry-19:recipient
police-16,get-18,will-17:modal_verb
Anna-1,standing-3,way-6:is_participant_in
Harry-13,spots-14,Paine-16:recipient
Harry-1,tells-2,Anna-3:recipient
Harry-13,turns-24,<NULL>
<NULL>,entering-17,front-19:recipient
Harry-1,goes-9,down-10:verb_complement
Harry-1,goes-9,tunnels-13:modified_to
Harry-1,rushes-2,entrance-7:attachment
policemen-9,pursue-10,Harry-11:recipient
Holly-5,pursue-10,Harry-11:recipient
Harry-13,is-14,<NULL>
Harry-1,evades-7,time-5:destination
Harry-1,evades-7,men-10:recipient
Holly-1,tells-18,<NULL>
Austrian-21,give-23,must-22:modal_verb
Austrian-21,give-23,up-24:verb_complement
<NULL>,hiding-9,range-12:performer
Holly-1,happens-2,<NULL>
Harry-25,falls-26,<NULL>
Harry-20,shoots-21,Paine-22:recipient
Calloway-6,followed-4,<NULL>
Harry-25,falls-26,<NULL>
Harry-20,shoots-21,Paine-22:recipient
Paine-2,comes-8,<NULL>
Calloway-9,shot-7,Harry-1:recipient
Harry-1,tries-2,<NULL>
Harry-1,manages-2,<NULL>
Calloway-9,leans-10,<NULL>
<NULL>,dying-13,<NULL>
Calloway-13,tells-14,Calloway-15:recipient
Holly-1,takes-2,gun-5:recipient
Holly-1,sets-7,off-8:verb_complement
<NULL>,climb-11,up-12:verb_complement
strains-9,escape-15,<NULL>
strains-9,steps-13,passageway-3:is_participant_in
<NULL>,wounded-6,badly-5:modifier
Harry-1,manages-2,<NULL>
Harry-3,is-4,<NULL>
Harry-14,drops-15,head-18:recipient
Harry-14,drops-15,arms-22:modified_to
Harry-3,lift-8,cover-11:recipient
Holly-1,aims-5,Harry-9:site
Holly-1,aims-5,gun-7:recipient
Holly-1,walks-2,up-3:verb_complement
Harry-1,lifts-3,weakly-2:modifier
Harry-1,lifts-3,head-6:recipient
Harry-1,nods-8,slightly-9:modifier
Harry-1,nods-8,Holly-11:site
shot-2,rings-3,sewers-7:is_participant_in
shot-2,rings-3,out-4:verb_complement
Calloway-1,sees-2,figure-4:recipient
<NULL>,emerging-7,passageway-10:performer
<NULL>,emerging-7,alone-11:modifier
Harry-4,has-6,again-5:modifier
Harry-4,has-6,funeral-8:recipient
Holly-1,are-7,attendees-10:recipient
Calloway-5,begins-6,<NULL>
Holly-19,asks-20,<NULL>
Holly-19,get-22,out-23:verb_complement
Holly-19,speak-25,Anna-27:attachment
Anna-2,saw-16,<NULL>
Holly-19,asks-20,<NULL>
Holly-19,get-22,out-23:verb_complement
Holly-19,speak-25,Anna-27:attachment
<NULL>,walking-3,trail-10:along
<NULL>,walking-3,Holly-5:support
Holly-1,waits-2,Anna-4:with_respect_to
Schmidt-6,walks-7,down-8:verb_complement
Schmidt-6,walks-7,road-11:recipient
Schmidt-8,walks-16,<NULL>
Schmidt-8,acknowledge-11,though-6:modifier
Schmidt-8,acknowledge-11,presence-14:recipient
Schmidt-8,acknowledge-11,not-10:negative
Schmidt-2,nears-3,When-1:modifier
Austrian-8,puts-9,head-12:recipient
Austrian-8,puts-9,lights-15:recipient
Holly-1,say-4,anything-5:recipient
Holly-1,say-4,not-3:negative
