lion-15,rules-16,where-13:modifier
Pumbaa-3,sleeping-5,together-6:modifier
Timon-1,sleeping-5,together-6:modifier
theyve-4,declares-12,<NULL>
king-15,returned-17,<NULL>
theyve-4,appears-9,overhead-10:modifier
theyve-4,declares-12,<NULL>
king-15,returned-17,<NULL>
<NULL>,seen-5,Rafiki-8:dependent
<NULL>,seen-5,Simba-6:dependent
theyve-4,declares-12,<NULL>
king-15,returned-17,<NULL>
theyve-4,appears-9,overhead-10:modifier
theyve-4,declares-12,<NULL>
king-15,returned-17,<NULL>
staff-1,asks-2,<NULL>
Pumbaa-16,appear-17,Rock-4:time
Pumbaa-16,appear-17,when-10:modifier
Pumbaa-16,appear-17,Lane-19:prep_beside
Nala-11,appear-17,Rock-4:time
Nala-11,appear-17,when-10:modifier
Nala-11,appear-17,Lane-19:prep_beside
Timon-13,appear-17,Rock-4:time
Timon-13,appear-17,when-10:modifier
Timon-13,appear-17,Lane-19:prep_beside
Simba-1,eyes-2,Rock-4:recipient
<NULL>,is-13,<NULL>
Simba-6,reclaim-7,throne-9:recipient
<NULL>,fighting-21,<NULL>
<NULL>,is-13,<NULL>
Nala-1,agree-3,<NULL>
Nala-1,discover-8,<NULL>
Nala-1,sneak-2,over-3:verb_complement
Nala-1,sneak-2,Rock-6:attachment
Rock-10,crawling-12,<NULL>
Simba-22,move-25,closer-26:object
Nala-24,move-25,closer-26:object
Timon-10,put-12,<NULL>
<NULL>,do-11,<NULL>
Simba-1,offers-2,Pumbaa-5:recipient
Simba-1,offers-2,Timon-3:recipient
Simba-9,looks-10,Scar-12:with_respect_to
Simba-1,instructs-2,Nala-3:recipient
<NULL>,calling-11,loudly-12:modifier
Simba-1,finds-2,Simba-3:recipient
Simba-10,looks-11,<NULL>
Hyenas-1,nip-2,heels-5:site
lionesses-8,refuse-9,why-6:modifier
lionesses-8,refuse-9,hunt-11:attachment
Scar-1,questions-2,Sarabi-3:recipient
chance-12,is-15,<NULL>
herds-5,moved-7,on-8:verb_complement
chance-12,is-15,<NULL>
Sarabi-1,explains-2,<NULL>
Simba-12,hits-14,Sarabi-15:recipient
Simba-12,hits-14,cruelly-13:modifier
Sarabi-6,compares-7,Simba-8:recipient
Sarabi-6,compares-7,when-5:modifier
Scar-1,refuses-2,<NULL>
chance-19,is-21,really-20:modifier
chance-19,is-21,who-18:recipient
Scar-1,backs-2,away-3:verb_complement
Scar-1,backs-2,fearful-5:object
Simba-16,realizes-17,when-15:modifier
Simba-23,shoots-24,glare-27:recipient
Simba-23,shoots-24,Shenzi-29:site
ledge-7,'s-8,Mufasa-9:recipient
Mufasa-9,returned-12,<NULL>
Simba-28,feel-30,would-29:modal_verb
Simba-28,feel-30,terrible-31:object
Scar-18,says-27,<NULL>
things-21,end-23,must-22:modal_verb
things-21,end-23,violence-25:is_participant_in
things-21,end-23,why-20:modifier
Simba-33,were-34,<NULL>
Scar-18,asks-19,<NULL>
Simba-1,confronts-2,Scar-3:recipient
Simba-4,put-6,past-8:recipient
Simba-4,put-6,Simba-10:support
lionesses-16,done-18,<NULL>
Simba-2,says-3,<NULL>
Scar-12,questions-13,<NULL>
Scar-6,prompts-7,Simba-8:recipient
Simba-8,tell-10,<NULL>
Nala-2,questions-3,When-1:modifier
<NULL>,was-14,<NULL>
Nala-10,was-11,accident-13:recipient
Simba-6,was-7,<NULL>
Simba-3,confesses-4,Sadly-1:modifier
<NULL>,dangling-31,paws-35:owner
<NULL>,being-8,<NULL>
<NULL>,dangling-31,paws-35:owner
Simba-25,slips-26,where-24:modifier
<NULL>,dangling-31,paws-35:owner
Scar-1,accuses-5,Simba-6:recipient
<NULL>,dangling-31,paws-35:owner
<NULL>,backing-12,end-17:attachment
<NULL>,backing-12,up-14:verb_complement
<NULL>,backing-12,murderer-13:recipient
<NULL>,dangling-31,paws-35:owner
Scar-1,uses-2,<NULL>
Scar-10,looks-11,<NULL>
Lightning-1,strikes-2,fire-6:recipient
Simba-25,died-26,<NULL>
Mufasa-22,looked-23,<NULL>
Lightning-1,ignites-4,<NULL>
<NULL>,was-18,<NULL>
Scar-2,grabs-3,paws-5:recipient
Scar-2,grabs-3,Then-1:modifier
Scar-2,grabs-3,ear-11:is_participant_in
Scar-2,grabs-3,whispers-7:recipient
<NULL>,kill-18,Mufasa-19:recipient
Simba-13,was-14,one-16:recipient
Simba-13,confess-15,lionesses-20:attachment
Simba-13,confess-15,truth-17:recipient
<NULL>,choking-12,Simba-13:recipient
Simba-3,leaps-4,<NULL>
Fighting-1,breaks-3,out-4:verb_complement
Fighting-1,breaks-3,immediately-2:modifier
Rafiki-13,impresses-14,<NULL>
Pumbaa-3,join-4,fray-6:recipient
Timon-1,join-4,fray-6:recipient
fury-24,provoked-25,<NULL>
Pumbaa-16,comes-17,rescue-20:attachment
Shenzi-6,cornered-4,When-1:modifier
Shenzi-6,cornered-4,Timon-2:recipient
Shenzi-6,cornered-4,den-12:is_participant_in
Banzai-8,cornered-4,When-1:modifier
Banzai-8,cornered-4,Timon-2:recipient
Banzai-8,cornered-4,den-12:is_participant_in
Banzai-27,calls-29,accidentally-28:modifier
Banzai-27,calls-29,when-26:modifier
Simba-13,followed-11,Scar-1:recipient
Scar-1,manages-2,<NULL>
flames-11,surrounded-9,<NULL>
Timon-1,meet-2,top-5:site
hyenas-28,are-29,enemy-32:recipient
Lane-6,tells-12,Lane-13:recipient
Lane-6,'s-7,not-8:negative
<NULL>,saying-4,<NULL>
Simba-1,relents-2,<NULL>
<NULL>,blinding-16,Lane-17:recipient
Scar-1,sends-7,face-14:modified_to
Scar-1,sends-7,pile-9:recipient
<NULL>,blinding-16,Lane-17:recipient
Scar-1,walks-3,meekly-2:modifier
Scar-1,attacks-3,then-2:modifier
Scar-1,attacks-3,ensues-9:recipient
Scar-1,attacks-3,Simba-4:recipient
Simba-23,flips-24,Scar-25:recipient
Nala-16,mastered-18,pinning-21:is_participant_in
Simba-23,flips-24,Scar-25:recipient
<NULL>,using-13,technique-15:recipient
Simba-23,flips-24,Scar-25:recipient
Simba-23,flips-24,Scar-25:recipient
Nala-16,mastered-18,pinning-21:is_participant_in
Simba-23,flips-24,Scar-25:recipient
<NULL>,using-13,technique-15:recipient
Simba-23,flips-24,Scar-25:recipient
Scar-1,leaps-8,Simba-10:site
Scar-1,manages-2,<NULL>
Scar-1,tumbles-2,down-3:verb_complement
Scar-1,tumbles-2,lands-8:recipient
Scar-1,tumbles-2,face-6:recipient
<NULL>,approaching-9,Simba-10:recipient
Simba-1,notices-6,hyenas-8:recipient
Simba-1,stands-3,up-4:verb_complement
Simba-1,stands-3,groggily-2:modifier
hyenas-9,respond-10,<NULL>
Simba-1,greets-2,hyenas-3:recipient
Simba-12,said-13,<NULL>
hyenas-14,were-15,enemy-17:recipient
hyenas-8,surround-13,attacking-16:is_before_location
hyenas-8,surround-13,Simba-14:recipient
hyenas-8,lick-9,lips-11:recipient
hyenas-8,surround-13,attacking-16:is_before_location
hyenas-8,surround-13,Simba-14:recipient
Scar-1,looks-2,them-4:site
Simba-6,returns-7,lionesses-10:attachment
Rain-1,begins-2,<NULL>
Rafiki-1,rattles-2,staff-5:recipient
Rafiki-1,rattles-2,points-7:recipient
Simba-4,says-13,<NULL>
Simba-1,bows-2,Simba-4:attachment
hug-14,is-15,time-16:recipient
Simba-4,says-13,<NULL>
Simba-4,gives-7,Simba-8:recipient
Simba-4,gives-7,hug-10:recipient
<NULL>,sealing-34,position-37:recipient
<NULL>,sealing-34,position-37:recipient
<NULL>,sealing-34,position-37:recipient
<NULL>,letting-28,out-29:verb_complement
<NULL>,letting-28,roar-32:recipient
<NULL>,gazing-20,time-23:recipient
<NULL>,sealing-34,position-37:recipient
<NULL>,letting-28,out-29:verb_complement
<NULL>,letting-28,roar-32:recipient
everyone-2,washes-9,as-6:modifier
everyone-2,washes-9,dust-11:recipient
everyone-2,washes-9,bones-13:recipient
everyone-2,washes-9,away-10:verb_complement
<NULL>,sealing-34,position-37:recipient
<NULL>,sealing-34,position-37:recipient
<NULL>,sealing-34,position-37:recipient
<NULL>,letting-28,out-29:verb_complement
<NULL>,letting-28,roar-32:recipient
<NULL>,gazing-20,time-23:recipient
<NULL>,sealing-34,position-37:recipient
<NULL>,letting-28,out-29:verb_complement
<NULL>,letting-28,roar-32:recipient
Simba-15,ascends-16,Rock-18:recipient
<NULL>,sealing-34,position-37:recipient
<NULL>,sealing-34,position-37:recipient
<NULL>,sealing-34,position-37:recipient
<NULL>,letting-28,out-29:verb_complement
<NULL>,letting-28,roar-32:recipient
<NULL>,gazing-20,time-23:recipient
<NULL>,sealing-34,position-37:recipient
<NULL>,letting-28,out-29:verb_complement
<NULL>,letting-28,roar-32:recipient
everyone-2,watches-3,<NULL>
<NULL>,hailing-6,king-9:recipient
lionesses-2,join-3,<NULL>
Simba-24,overlook-25,kingdom-27:recipient
<NULL>,cheering-18,Simba-20:site
Simba-24,overlook-25,kingdom-27:recipient
animals-6,gather-11,later-3:modifier
animals-6,gather-11,Rock-16:site
animals-6,gather-11,again-13:modifier
Rafiki-1,see-14,<NULL>
Rafiki-1,holds-6,up-7:verb_complement
Rafiki-1,holds-6,cub-10:recipient
Rafiki-1,comes-2,<NULL>
