date-2,is-3,November-4:recipient
ring-4,receive-9,fight-15:destination
ring-4,receive-9,rules-12:recipient
ring-4,receive-9,instructions-10:recipient
Rocky-1,reaches-2,<NULL>
<NULL>,wait-7,bell-10:destination
<NULL>,turn-2,corners-5:attachment
<NULL>,miss-15,<NULL>
Apollo-5,begins-6,<NULL>
<NULL>,miss-15,<NULL>
<NULL>,miss-15,<NULL>
<NULL>,throwing-7,Rocky-10:site
<NULL>,throwing-7,punches-8:recipient
fight-2,begins-3,<NULL>
<NULL>,knocking-26,down-28:verb_complement
<NULL>,knocking-26,Rocky-27:recipient
Rocky-10,begins-11,<NULL>
<NULL>,knocking-26,down-28:verb_complement
<NULL>,knocking-26,Rocky-27:recipient
Apollo-1,taking-5,not-4:negative
Apollo-1,taking-5,apparently-2:modifier
Apollo-1,taking-5,seriously-8:modifier
crowd-2,goes-3,wild-4:modifier
Apollo-6,gets-7,up-9:modifier
crowd-2,goes-3,wild-4:modifier
them-18,dodging-25,<NULL>
crowd-2,goes-3,wild-4:modifier
Apollo-6,gets-7,up-9:modifier
crowd-2,goes-3,wild-4:modifier
them-18,throwing-19,punches-20:recipient
them-18,throwing-19,other-23:site
crowd-2,goes-3,wild-4:modifier
Apollo-6,gets-7,up-9:modifier
crowd-2,goes-3,wild-4:modifier
fight-12,continues-13,<NULL>
Apollo-9,getting-11,bruised-14:recipient
Apollo-9,getting-11,cutup-12:recipient
Rocky-7,getting-11,bruised-14:recipient
Rocky-7,getting-11,cutup-12:recipient
<NULL>,damaged-6,eye-4:recipient
eye-4,open-10,not-9:negative
eye-4,open-10,ca-8:modal_verb
eye-4,open-10,eye-11:recipient
<NULL>,hurt-6,Apollo-1:recipient
<NULL>,hurt-6,badly-7:modifier
<NULL>,getting-3,<NULL>
<NULL>,is-2,<NULL>
Mick-11,instructs-12,Mick-13:recipient
Apollo-5,knocks-7,finally-6:modifier
Apollo-5,knocks-7,Round-2:site
Apollo-5,knocks-7,down-9:verb_complement
Apollo-5,knocks-7,Rocky-8:recipient
<NULL>,hopes-17,<NULL>
Adrian-18,get-20,will-19:modal_verb
Adrian-18,get-20,up-21:verb_complement
Adrian-1,watches-9,<NULL>
<NULL>,hopes-17,<NULL>
Adrian-18,get-20,will-19:modal_verb
Adrian-18,get-20,up-21:verb_complement
Adrian-1,comes-2,room-7:object
Adrian-1,comes-2,ring-11:recipient
<NULL>,hopes-17,<NULL>
Adrian-18,get-20,will-19:modal_verb
Adrian-18,get-20,up-21:verb_complement
Adrian-1,believes-13,Rocky-15:is_participant_in
Rocky-1,gets-2,up-4:modifier
<NULL>,dancing-8,<NULL>
Rocky-1,gets-2,up-4:modifier
Apollo-6,wants-21,<NULL>
Rocky-1,gets-2,up-4:modifier
Rocky-17,standing-19,<NULL>
Rocky-1,gets-2,up-4:modifier
Apollo-6,sees-13,<NULL>
Rocky-13,ducks-14,<NULL>
<NULL>,exhausted-4,now-3:modifier
Rocky-13,jabs-16,him-17:recipient
Rocky-13,jabs-16,chest-23:is_participant_in
Rocky-13,jabs-16,twice-18:modifier
<NULL>,breaking-24,ribs-27:recipient
Rocky-13,ducks-14,<NULL>
Apollo-1,throws-6,<NULL>
<NULL>,are-13,<NULL>
<NULL>,brought-14,corners-18:attachment
<NULL>,brought-14,rings-3:recipient
<NULL>,brought-14,back-15:verb_complement
<NULL>,signalling-4,end-6:recipient
<NULL>,open-17,eye-20:recipient
Mick-10,cut-12,Mick-13:recipient
Rocky-3,tells-9,Mick-10:recipient
Rocky-3,see-6,not-5:negative
Rocky-3,see-6,ca-4:modal_verb
Rocky-3,see-6,anything-7:recipient
<NULL>,open-17,eye-20:recipient
Mick-10,cut-12,Mick-13:recipient
Rocky-3,tells-9,Mick-10:recipient
Rocky-1,claims-2,<NULL>
Rocky-12,take-15,fighters-16:recipient
Rocky-12,take-15,time-17:recipient
bell-2,take-15,fighters-16:recipient
bell-2,take-15,time-17:recipient
Apollo-5,protecting-8,now-7:modifier
Apollo-5,protecting-8,side-11:recipient
Rocky-1,moves-2,in-3:verb_complement
Rocky-12,beats-22,ropes-30:attachment
Rocky-12,beats-22,senseless-24:recipient
Rocky-12,beats-22,Rocky-27:recipient
punches-2,occur-6,<NULL>
crowd-7,cheering-9,time-3:means
crowd-7,cheering-9,Rocky-10:recipient
<NULL>,chanting-13,over-19:modifier
<NULL>,chanting-13,name-16:recipient
<NULL>,chanting-13,over-17:modifier
<NULL>,signalling-4,end-6:recipient
Rocky-12,responds-13,<NULL>
Apollo-1,tell-2,Rocky-3:recipient
Rocky-12,responds-13,<NULL>
<NULL>,be-8,<NULL>
Rocky-15,want-18,not-17:negative
reporters-6,stormed-4,ring-2:recipient
managers-11,stormed-4,ring-2:recipient
Rocky-10,shouts-11,Adrian-13:with_respect_to
reporter-2,asks-3,fight-8:location_of
reporter-2,asks-3,questions-5:recipient
fight-14,was-23,decision-26:recipient
decision-22,won-29,<NULL>
draw-20,won-29,<NULL>
decision-22,won-29,<NULL>
draw-20,won-29,<NULL>
fight-14,came-15,out-16:verb_complement
decision-22,won-29,<NULL>
draw-20,won-29,<NULL>
Jergens-10,announces-11,<NULL>
Adrian-2,makes-3,ring-8:attachment
Adrian-2,makes-3,way-5:recipient
fight-14,be-18,draw-20:recipient
<NULL>,allowed-3,Apollo-1:recipient
Apollo-1,wins-15,default-17:means
Apollo-1,wins-15,technically-14:modifier
Rocky-21,shout-24,Adrian-26:destination
Rocky-21,continues-22,<NULL>
Rocky-3,seem-6,not-5:negative
<NULL>,restrained-10,<NULL>
Adrian-1,makes-2,<NULL>
<NULL>,entering-12,ring-14:recipient
<NULL>,declare-13,<NULL>
<NULL>,declare-13,<NULL>
<NULL>,embrace-11,love-15:recipient
<NULL>,embrace-11,other-18:with_respect_to
Adrian-1,runs-5,Rocky-7:attachment
<NULL>,declare-13,<NULL>
<NULL>,declare-13,<NULL>
<NULL>,embrace-11,love-15:recipient
<NULL>,embrace-11,other-18:with_respect_to
Adrian-1,sneaks-2,in-3:verb_complement
