actions-32,tarnished-34,reputation-36:recipient
Smith-15,confronted-13,however-10:modifier
Smith-15,confronted-13,men-11:recipient
men-1,kill-3,eventually-2:modifier
Smith-1,turns-2,gun-5:recipient
Exley-9,says-12,Rollo_Tomasi-13:recipient
Exley-8,tells-9,<NULL>
man-21,evade-24,law-26:recipient
man-21,evade-24,can-23:modal_verb
Smith-1,asks-2,<NULL>
<NULL>,further-17,career-22:recipient
<NULL>,further-17,career-22:recipient
<NULL>,promising-15,<NULL>
Smith-1,tells-7,Exley-8:recipient
<NULL>,further-17,career-22:recipient
<NULL>,promising-15,<NULL>
Exley-8,walk-10,out-11:verb_complement
<NULL>,promising-15,<NULL>
Smith-1,hears-2,<NULL>
Smith-1,tells-3,Ed-4:recipient
Smith-1,tells-3,also-2:modifier
Smith-16,instructed-17,<NULL>
<NULL>,holding-11,badge-14:recipient
<NULL>,holding-11,badge-14:recipient
Exley-1,walks-8,out-9:verb_complement
Exley-1,shoots-2,Smith-3:recipient
Chief-5,realize-9,reputation-13:recipient
<NULL>,threatened-20,law-17:recipient
<NULL>,threatened-20,will-18:modal_verb
<NULL>,glorifying-6,Smith-7:recipient
<NULL>,floating-2,solution-4:recipient
Smith-8,says-9,<NULL>
Chief-10,need-12,hero-16:recipient
Chief-10,need-12,will-11:modal_verb
Chief-3,asks-4,why-6:recipient
Chief-3,asks-4,When-1:modifier
<NULL>,presented-10,scene-4:is_participant_in
<NULL>,presented-10,again-9:modifier
<NULL>,presented-10,Exley-6:recipient
Exley-1,walks-5,out-6:verb_complement
Exley-1,spots-2,Lynn-3:recipient
car-3,recovering-9,wounds-13:performer
they-3,going-5,hometown-8:attachment
Lynn-1,says-2,<NULL>
Lynn-7,drives-8,off-9:verb_complement
Ed-1,shakes-4,hands-5:recipient
Bud-3,shakes-4,hands-5:recipient
