Katie_Holmes-56,played-54,Rachel_Dawes-52:recipient
Batman-1,falls-2,helplessly-3:modifier
Batman-1,falls-2,floor-6:attachment
<NULL>,taunting-7,Crane-8:recipient
Crane-1,douses-2,Crane-3:recipient
Crane-1,throws-8,chest-13:site
Crane-1,lights-3,then-2:modifier
himself-3,hits-17,street-19:recipient
himself-3,swept-11,window-7:object
himself-3,swept-11,rain-10:modified_to
himself-3,swept-11,streets-12:recipient
himself-3,hits-17,street-19:recipient
Batman-1,throws-2,<NULL>
<NULL>,get-23,gun-27:recipient
<NULL>,trying-21,<NULL>
flames-8,rolling-2,Desperately-1:modifier
<NULL>,carried-8,rooftop-13:attachment
<NULL>,carried-8,gun-4:recipient
gun-4,upwards-5,<NULL>
<NULL>,carried-8,rooftop-13:attachment
<NULL>,carried-8,gun-4:recipient
Batman-1,fires-2,<NULL>
Batman-3,grabs-4,communicator-7:recipient
Batman-3,calls-9,Alfred-11:with_respect_to
Batman-1,suffering-4,hallucinations-7:performer
Batman-1,suffering-4,still-3:modifier
<NULL>,drives-10,Manor-14:attachment
<NULL>,drives-10,Alfred-11:recipient
Alfred-1,takes-4,Batman-5:recipient
Alfred-1,takes-4,car-8:modified_to
<NULL>,drives-10,Manor-14:attachment
<NULL>,drives-10,Alfred-11:recipient
Alfred-1,arrives-2,<NULL>
Batman-1,tells-2,Batman-3:recipient
Bruce-15,wakes-16,bed-21:is_participant_in
Bruce-15,wakes-16,up-17:verb_complement
Bruce-15,wakes-16,nightmare-26:raw_material
Alfred-4,been-6,<NULL>
Alfred-1,reveals-2,<NULL>
Gordon-27,felt-29,effects-31:recipient
Bruce-23,tells-24,Gordon-25:recipient
Crane-1,used-2,<NULL>
Fox-23,save-27,Bruce-28:recipient
<NULL>,making-17,point-19:recipient
Fox-32,created-34,antidote-36:recipient
Fox-32,created-34,gas-40:attachment
Fox-23,worked-25,hard-22:dependent
<NULL>,explains-30,<NULL>
Fox-1,warns-5,Bruce-6:recipient
<NULL>,hanging-8,out-9:verb_complement
Fox-23,save-27,Bruce-28:recipient
<NULL>,making-17,point-19:recipient
Fox-32,created-34,antidote-36:recipient
Fox-32,created-34,gas-40:attachment
Fox-23,worked-25,hard-22:dependent
<NULL>,explains-30,<NULL>
Fox-1,comes-2,in-3:verb_complement
Fox-34,promises-35,<NULL>
Fox-34,bring-37,<NULL>
Fox-13,expresses-14,concern-15:recipient
Fox-34,promises-35,<NULL>
Fox-34,bring-37,<NULL>
<NULL>,asked-2,When-1:modifier
Bruce-17,go-21,himself-30:recipient
Bruce-17,go-21,back-22:verb_complement
Bruce-17,go-21,again-31:modifier
Bruce-17,go-21,club-26:attachment
Fox-34,promises-35,<NULL>
Fox-34,bring-37,<NULL>
Fox-4,make-6,could-5:modal_verb
Fox-1,explains-3,also-2:modifier
antidote-6,inoculate-8,will-7:modal_verb
antidote-6,inoculate-8,people-9:recipient
antidote-6,inoculate-8,toxin-12:object
<NULL>,give-8,present-12:recipient
Rachel-1,turns-2,up-3:verb_complement
Rachel-1,turns-2,Manor-6:site
<NULL>,apologize-15,<NULL>
Dawes-17,make-20,night-26:time
Dawes-17,make-20,party-24:recipient
Dawes-17,make-20,not-19:negative
Dawes-17,make-20,ca-18:modal_verb
Dawes-9,jokes-10,bitterly-11:modifier
<NULL>,searching-13,river-15:recipient
boss-2,missing-5,days-8:destination
Dawes-1,cuts-2,<NULL>
Dawes-8,get-9,message-12:recipient
<NULL>,informing-13,Dawes-14:recipient
<NULL>,moved-19,Arkham-23:attachment
<NULL>,moved-19,prison-21:compared_to
<NULL>,moved-19,Falcone-16:recipient
Dawes-1,rushes-2,off-3:verb_complement
guests-10,arrive-14,will-12:modal_verb
guests-10,arrive-14,party-18:destination
guests-10,arrive-14,soon-13:modifier
Bruce-3,changes-4,Batman-6:attachment
Rachel-1,watches-6,<NULL>
Rachel-1,arrives-2,Arkham-4:site
number-6,focus-9,paranoia-11:recipient
Crane-1,explains-2,<NULL>
Batman-5,listening-7,<NULL>
Dr-9,evaluated-7,Falcone-5:recipient
Rachel-2,demands-3,When-1:modifier
Lehmann-1,Dr-8,<NULL>
Wilkinson-13,reveals-14,where-12:modifier
Wilkinson-13,reveals-14,inmates-15:recipient
inmates-15,pouring-18,below-25:modifier
inmates-15,pouring-18,toxin-20:recipient
inmates-15,pouring-18,pipes-24:modified_to
Crane-1,leads-2,floors-7:modified_to
Crane-1,leads-2,Dawes-3:recipient
Rachel-1,runs-2,court-4:destination
<NULL>,gasses-13,her-14:recipient
<NULL>,wearing-6,now-5:modifier
<NULL>,wearing-6,mask-10:recipient
catches-2,Dawes-3,<NULL>
<NULL>,terrified-2,<NULL>
Dr-7,interrogated-5,Rachel-3:recipient
lights-3,go-4,Suddenly-1:modifier
lights-3,go-4,out-5:verb_complement
Batman-5,arrived-7,<NULL>
Crane-1,acknowledges-2,<NULL>
guards-4,phone-26,police-28:recipient
Dawes-11,last-21,not-20:negative
Dawes-11,last-21,will-19:modal_verb
Dawes-11,last-21,long-22:modifier
guards-4,phone-26,police-28:recipient
<NULL>,given-14,dose-17:recipient
<NULL>,given-14,Dawes-11:recipient
guards-4,phone-26,police-28:recipient
Dawes-11,last-21,not-20:negative
Dawes-11,last-21,will-19:modal_verb
Dawes-11,last-21,long-22:modifier
guards-4,phone-26,police-28:recipient
Crane-1,tells-2,<NULL>
guards-4,phone-26,police-28:recipient
Dawes-11,last-21,not-20:negative
Dawes-11,last-21,will-19:modal_verb
Dawes-11,last-21,long-22:modifier
guards-4,phone-26,police-28:recipient
guards-4,worry-7,not-5:negative
guards-4,worry-7,Rachel-9:location_of
police-17,stop-18,first-20:modifier
police-17,stop-18,Batman-19:recipient
police-5,stop-8,ca-6:modal_verb
police-5,stop-8,not-7:negative
police-5,stop-8,toxin-10:recipient
police-17,stop-18,first-20:modifier
police-17,stop-18,Batman-19:recipient
Crane-1,explains-2,<NULL>
<NULL>,Dr-2,<NULL>
Batman-7,overcomes-13,easily-16:modifier
Batman-7,overcomes-13,henchmen-14:recipient
Batman-7,appears-8,basement-11:is_participant_in
Crane-1,interrogates-2,Dr-3:recipient
<NULL>,passing-15,out-16:verb_complement
Crane-7,working-9,al_Ghul-13:destination
Crane-1,slip-5,<NULL>
Crane-1,lets-4,<NULL>
Batman-1,picks-2,Rachel-4:recipient
Batman-1,picks-2,up-3:verb_complement
Batman-1,takes-6,up-9:modifier
Batman-1,takes-6,Dawes-7:recipient
Batman-1,takes-6,stairway-16:is_before_location
police-2,arrive-3,<NULL>
Batman-27,grabbed-25,Gordon-18:recipient
Batman-27,grabbed-25,Gordon-18:recipient
Gordon-18,goes-19,building-22:modified_to
<NULL>,wait-4,backup-6:destination
<NULL>,wait-4,form-9:is_participant_in
teams-3,arrive-4,<NULL>
Batman-6,needs-7,<NULL>
Batman-16,give-18,can-17:modal_verb
Batman-16,give-18,Dawes-19:recipient
Batman-16,give-18,antidote-21:recipient
Batman-1,explains-2,Gordon-4:attachment
Batman-14,asks-15,<NULL>
Gordon-16,carry-17,alley-21:attachment
Gordon-16,carry-17,Dawes-18:recipient
<NULL>,carrying-10,Rachel-11:recipient
Batman-14,asks-15,<NULL>
Gordon-16,carry-17,alley-21:attachment
Gordon-16,carry-17,Dawes-18:recipient
Batman-2,escape-5,not-4:negative
Batman-2,escape-5,so-13:dependent
Batman-2,escape-5,ca-3:modal_verb
Batman-2,escape-5,team-8:recipient
Batman-1,activates-3,then-2:modifier
Batman-1,activates-3,device-5:recipient
boot-12,emits-15,scream-18:recipient
Rachel-3,raids-11,down-4:modifier
Rachel-3,raids-11,building-13:recipient
Gordon-1,takes-2,<NULL>
swarm-10,breaks-13,signal-22:attachment
swarm-10,breaks-13,building-16:modified_to
they-2,begin-3,<NULL>
<NULL>,land-19,safely-20:modifier
<NULL>,using-14,cape-17:recipient
Batman-9,drops-10,stairway-13:raw_material
bats-2,distracting-4,everywhere-3:modifier
bats-2,distracting-4,officers-7:recipient
Batman-1,breaks-2,courteously-9:modified_to
Gordon-4,takes-6,Rachel-7:recipient
Gordon-4,takes-6,Batman-9:origin_value
Rachel-7,meets-3,Batman-2:modifier
Rachel-7,meets-3,Gordon-4:recipient
Batman-1,gets-17,Tumbler-20:modified_to
Batman-9,take-12,Batman-13:recipient
Batman-9,take-12,ca-10:modal_verb
Batman-9,take-12,not-11:negative
Batman-9,take-12,too-14:modifier
Batman-1,gets-17,Tumbler-20:modified_to
Batman-1,refuses-2,Gordon-6:origin_value
Batman-1,refuses-2,help-4:recipient
Batman-1,hurries-2,back-4:verb_complement
Batman-1,hurries-2,Rachel-3:recipient
Batman-1,hurries-2,Manor-7:attachment
Batman-1,hurries-2,pursuit-16:is_participant_in
chase-5,makes-41,back-43:verb_complement
chase-5,makes-41,chase-42:recipient
chase-5,makes-41,cave-46:attachment
ramps-13,destroying-25,cars-28:recipient
chase-5,makes-41,back-43:verb_complement
chase-5,makes-41,chase-42:recipient
chase-5,makes-41,cave-46:attachment
chase-5,caltrops-33,<NULL>
chase-5,makes-41,back-43:verb_complement
chase-5,makes-41,chase-42:recipient
chase-5,makes-41,cave-46:attachment
Batman-8,weaves-9,<NULL>
chase-5,makes-41,back-43:verb_complement
chase-5,makes-41,chase-42:recipient
chase-5,makes-41,cave-46:attachment
chase-5,ensues-6,<NULL>
Fox-17,uses-18,<NULL>
<NULL>,save-20,Rachel-21:recipient
Batman-1,finds-2,<NULL>
Fox-17,uses-18,<NULL>
<NULL>,save-20,Rachel-21:recipient
Fox-4,delivered-6,vials-8:recipient
Gordon-1,gets-2,report-4:recipient
Gordon-1,gets-2,detectives-7:raw_material
<NULL>,studying-8,toxin-10:recipient
system-11,taken-14,must-12:modal_verb
system-11,taken-14,weeks-15:time
<NULL>,laced-7,system-5:recipient
one-2,noticed-4,anything-5:recipient
one-2,noticed-4,now-8:modifier
Batman-10,explains-11,<NULL>
what-12,happened-14,<NULL>
Rachel-3,wakes-4,up-5:verb_complement
Rachel-3,wakes-4,cave-8:is_behind
Rachel-3,wakes-4,Meanwhile-1:modifier
<NULL>,remaining-22,<NULL>
Batman-1,tells-2,<NULL>
Dawes-1,get-3,Gordon-9:destination
Dawes-1,get-3,must-2:modal_verb
Dawes-1,get-3,Gordon-6:attachment
Dawes-1,get-3,them-4:recipient
Bruce-1,asks-7,Gordon-8:recipient
Gordon-8,take-10,home-12:recipient
Bruce-1,tells-2,Alfred-3:recipient
Gordon-1,goes-2,downstairs-6:attachment
Earle-3,tells-6,Gordon-7:recipient
Gordon-1,meets-2,Earle-3:recipient
Gordon-12,delivered-13,<NULL>
Gordon-6,vials-10,<NULL>
Fox-3,vials-10,<NULL>
him-4,happened-7,<NULL>
Bruce-1,tells-3,then-2:modifier
Bruce-1,tells-3,him-4:recipient
water-5,help-8,not-7:negative
water-5,help-8,wo-6:modal_verb
water-5,help-8,inhalant-11:recipient
Fox-1,interrupts-2,<NULL>
Fox-1,thinks-4,<NULL>
Fox-1,stops-2,<NULL>
<NULL>,releasing-17,toxin-19:recipient
emitter-7,vaporize-9,water-12:recipient
emitter-7,vaporize-9,could-8:modal_verb
emitter-7,vaporize-9,mains-15:is_participant_in
<NULL>,releasing-17,toxin-19:recipient
Fox-1,says-2,<NULL>
Earle-9,fired-7,Fox-4:recipient
Fox-1,reveals-2,<NULL>
Gordon-3,begin-9,<NULL>
<NULL>,making-10,antidote-12:recipient
Bruce-1,asks-2,Gordon-3:recipient
Mrs-13,carted-3,unwillingly-5:modifier
Mrs-13,carted-3,section-8:attachment
Mrs-13,carted-3,off-4:verb_complement
Mrs-13,carted-3,Bruce-1:recipient
Gordon-5,meet-7,man-9:recipient
Gordon-5,meet-7,must-6:modal_verb
Delane-2,insists-3,When-1:modifier
<NULL>,called-10,al_Ghul-13:recipient
figure-3,turns-4,around-5:verb_complement
Gordon-4,watched-5,<NULL>
Bruce-1,whispers-2,<NULL>
voice-3,asks-6,<NULL>
methods-16,supernatural-17,<NULL>
Bruce-19,turns-20,around-21:verb_complement
Bruce-19,turns-20,sight-24:attachment
<NULL>,figuring-5,out-6:verb_complement
Bruce-1,thinks-2,slowly-3:modifier
<NULL>,fought-18,back-19:verb_complement
<NULL>,fought-18,League-22:site
Ra-1,muses-3,<NULL>
Gordon-1,lectures-3,Bruce-4:recipient
Gordon-1,lectures-3,then-2:modifier
Bruce-3,saved-5,Even-1:modifier
Bruce-3,saved-5,life-8:recipient
Gordon-10,destroy-13,Gotham-14:recipient
Gordon-10,destroy-13,will-11:modal_verb
Gordon-10,destroy-13,still-12:modifier
<NULL>,acting-21,muses-25:recipient
<NULL>,get-8,house-15:object
<NULL>,get-8,guests-11:recipient
Ra-1,gives-3,Bruce-4:recipient
Ra-1,gives-3,chance-6:recipient
Bruce-2,demands-3,<NULL>
guests-6,leave-7,Gordon-8:recipient
Ra-14,walk-16,together-17:modifier
Gordon-12,walk-16,together-17:modifier
Crane-20,found-21,way-23:recipient
<NULL>,weaponising-25,<NULL>
Ra-1,explains-3,<NULL>
<NULL>,derived-10,toxin-8:recipient
<NULL>,derived-10,China-17:is_participant_in
<NULL>,derived-10,back-15:modifier
<NULL>,derived-10,flowers-14:compared_to
guests-23,hold-25,would-24:modal_verb
guests-23,hold-25,city-27:recipient
guests-23,hold-25,ransom-29:attachment
<NULL>,explaining-19,<NULL>
Ra-1,explains-3,<NULL>
League-22,infiltrated-26,level-28:recipient
<NULL>,destroyed-8,must-6:modal_verb
<NULL>,destroyed-8,Gotham-5:recipient
Crane-16,illustrates-17,which-15:recipient
officers-20,releasing-21,people-22:recipient
officers-20,releasing-21,Arkham-24:origin_value
Ra-53,offers-55,Back-48:modifier
Ra-53,offers-55,Bruce-56:recipient
Ra-53,offers-55,chance-59:recipient
<NULL>,disguised-15,<NULL>
<NULL>,showing-10,members-11:recipient
<NULL>,help-63,<NULL>
Crane-28,mumbles-44,still-32:modifier
Crane-28,mumbles-44,effects-35:prep_under
Crane-28,mumbles-44,only-43:modifier
Crane-28,mumbles-44,scarecrow-45:recipient
Victor_Zsaz-26,mumbles-44,still-32:modifier
Victor_Zsaz-26,mumbles-44,effects-35:prep_under
Victor_Zsaz-26,mumbles-44,only-43:modifier
Victor_Zsaz-26,mumbles-44,scarecrow-45:recipient
<NULL>,join-61,League-65:recipient
Bruce-68,refuses-69,League-65:recipient
members-7,set-10,fire-11:recipient
members-7,set-10,mansion-14:attachment
Ra-1,nods-3,members-7:attachment
economics-14,caused-17,depression-19:recipient
League-11,attacked-8,before-12:dependent
League-11,attacked-8,Gotham-5:recipient
Ra-1,explains-3,<NULL>
members-19,donated-31,however-17:modifier
members-19,donated-31,money-32:recipient
city-6,destroy-8,would-7:modal_verb
city-6,destroy-8,itself-9:recipient
Ra-1,hoped-3,<NULL>
Gotham-35,recover-36,<NULL>
attacks-5,pushes-8,<NULL>
beam-16,pins-18,Bruce-21:recipient
beam-16,pins-18,floor-24:attachment
<NULL>,falling-15,<NULL>
attacks-5,Bruce-6,Gordon-9:recipient
Ra-6,says-8,<NULL>
Wayne_Manor-2,burning-3,<NULL>
You-1,left-7,dead-10:destination
You-1,left-7,me-8:recipient
You-1,burned-2,down-3:verb_complement
You-1,burned-2,house-5:recipient
Rachel-1,wakes-2,bed-6:is_participant_in
Rachel-1,wakes-2,up-3:verb_complement
<NULL>,guarding-17,house-19:recipient
Alfred-1,uses-7,club-10:recipient
club-10,knock-12,member-16:recipient
club-10,knock-12,out-13:verb_complement
Alfred-1,arrives-2,back-3:verb_complement
Alfred-1,arrives-2,Wayne_Manor-5:site
<NULL>,torn-9,Bruce-3:recipient
<NULL>,torn-9,destruction-12:location_of
Police-33,moving-38,bridge-44:destination/location
Police-33,moving-38,Gotham-41:origin_value
we-24,learn-26,can-25:modal_verb
we-24,pick-28,up-30:verb_complement
we-24,pick-28,ourselves-29:recipient
Alfred-1,tells-2,Alfred-3:recipient
Rachel-1,pass-11,<NULL>
<NULL>,allowed-9,Rachel-1:recipient
Dawes-1,gives-5,antidote-8:recipient
Dawes-1,gives-5,Gordon-6:recipient
Dawes-1,finds-2,Gordon-3:recipient
Police-15,need-16,<NULL>
Police-15,get-18,Rachel-19:recipient
Police-15,get-18,off-20:verb_complement
Gordon-1,explains-2,<NULL>
Police-15,need-16,<NULL>
Police-15,get-18,Rachel-19:recipient
Police-15,get-18,off-20:verb_complement
Police-4,going-6,<NULL>
<NULL>,carrying-12,henchmen-21:recipient
<NULL>,carrying-12,Ra-13:recipient
<NULL>,carrying-12,secretly-11:modifier
<NULL>,carrying-12,emitter-25:recipient
<NULL>,allowed-6,over-7:verb_complement
<NULL>,allowed-6,Narrows-10:attachment
<NULL>,allowed-6,van-4:recipient
League-13,stopped-10,train-2:recipient
<NULL>,raised-5,drawbridges-3:recipient
sets-9,open-30,Narrows-33:is_participant_in
<NULL>,causing-13,streets-23:prep_below
<NULL>,released-4,toxin-2:recipient
toxin-2,affects-6,<NULL>
Flass-11,shoot-14,teenagers-20:recipient
Gordon-1,inoculates-2,himself-3:recipient
Gordon-1,finds-8,<NULL>
Gordon-1,handcuffs-6,him-7:recipient
Gordon-1,handcuffs-6,railing-10:attachment
Gordon-1,knocks-2,Gordon-3:recipient
Gordon-1,knocks-2,out-4:verb_complement
people-5,wonder-10,Meanwhile-1:modifier
what-11,going-13,on-14:verb_complement
Narrows-2,begins-3,<NULL>
people-5,attack-7,streets-3:is_participant_in
people-5,attack-7,violently-6:modifier
<NULL>,dragged-18,behind-19:verb_complement
<NULL>,dragged-18,whose-9:dependent
<NULL>,dragged-18,rider-11:recipient
Crane-5,confronted-3,Rachel-1:recipient
<NULL>,told-29,Gordon-27:recipient
<NULL>,left-46,no-44:modifier
Crane-7,announces-8,alias-13:attachment
Tumbler-3,shoots-4,Suddenly-1:modifier
Tumbler-3,shoots-4,Narrows-12:attachment
Tumbler-3,shoots-4,gap-7:destination/location
<NULL>,carry-14,emitter-17:recipient
<NULL>,carry-14,Wayne_Tower-19:attachment
Ra-6,intends-8,<NULL>
Batman-1,explains-2,Gordon-4:attachment
<NULL>,covering-25,city-28:recipient
train-3,reaches-4,When-1:modifier
train-3,reaches-4,Wayne_Tower-5:recipient
<NULL>,covering-25,city-28:recipient
emitter-14,vaporise-16,contents-18:recipient
emitter-14,vaporise-16,will-15:modal_verb
Tower-1,gives-7,Tower-8:recipient
Tower-1,gives-7,key-10:recipient
Tower-1,asks-2,Gordon-3:recipient
Scarecrow-2,run-6,down-7:verb_complement
Scarecrow-2,run-6,Rachel-8:recipient
Scarecrow-1,hits-6,Tower-7:recipient
Scarecrow-1,fires-2,taser-4:recipient
horse-3,carries-4,Tower-5:recipient
<NULL>,screaming-7,away-6:modifier
inmates-7,surrounded-3,Rachel-1:recipient
Zasz_Zasz-4,asks-5,Batman-6:recipient
Batman-2,leaves-3,<NULL>
Batman-1,replies-2,<NULL>
what-12,defines-16,<NULL>
me-17,quoting-19,back-23:modifier
me-17,quoting-19,words-22:recipient
me-17,quoting-19,Zasz-25:site
Gordon-4,uses-10,cape-15:recipient
Zasz-1,says-2,<NULL>
Gordon-4,jumps-5,rooftop-8:raw_material
people-17,hallucinations-18,<NULL>
people-11,shriek-13,terror-15:is_participant_in
people-11,shriek-13,below-12:modifier
<NULL>,warp-19,sight-21:recipient
Gordon-2,flies-4,air-7:is_participant_in
Gordon-2,flies-4,seemingly-3:modifier
orders-2,starts-10,up-11:verb_complement
orders-2,starts-10,Tumbler-13:recipient
orders-2,lowered-8,<NULL>
train-21,fasten-12,emitter-15:recipient
train-21,fasten-12,place-17:modified_to
Ra-1,spots-2,gliding-4:recipient
Ra-1,comments-3,<NULL>
Batman-5,took-6,advice-9:recipient
Batman-5,took-6,boards-17:recipient
members-2,prevent-8,<NULL>
<NULL>,pursuing-11,<NULL>
members-2,appear-6,Batman-9:recipient
<NULL>,knocked-22,hand-27:object
<NULL>,knocked-22,fight-20:recipient
Batman-5,tries-6,fight-3:prep_during
fight-2,takes-3,down-6:verb_complement
fight-2,takes-3,participants-5:recipient
fight-2,takes-3,floor-10:attachment
dozens-8,ganged-4,However-1:modifier
dozens-8,ganged-4,Batman-2:recipient
dozens-8,ganged-4,up-5:verb_complement
dozens-8,ganged-4,on-6:dependent
Ra-2,starts-4,overhead-7:recipient
Batman-9,finds-10,<NULL>
Ra-11,grapple-13,gun-14:recipient
Ra-11,grapple-13,overhead-17:modifier
Ra-11,grapple-13,train-20:site
Ra-11,grapple-13,fires-16:recipient
<NULL>,dragged-3,train-6:support
<NULL>,dragged-3,Ra-1:recipient
Gordon-1,following-4,meanwhile-2:modifier
Gordon-1,following-4,system-9:recipient
train-10,breaks-11,pipes-14:recipient
<NULL>,lowered-5,bridges-3:recipient
Batman-1,manages-2,<NULL>
Batman-1,engages-10,<NULL>
Batman-1,smashes-2,<NULL>
Batman-1,takes-2,sword-5:recipient
Batman-1,takes-2,sword-8:recipient
Batman-1,takes-2,two-10:is_participant_in
<NULL>,braking-11,<NULL>
's-5,stabs-6,controls-12:modified_to
's-5,stabs-6,sword-8:recipient
Gordon-1,arrives-2,Tower-5:site
Gordon-1,arms-2,systems-7:recipient
Gordon-1,fires-9,missiles-10:recipient
Gordon-1,fires-9,foundation-15:site
Ra-7,taunts-16,<NULL>
Ra-7,gets-9,hand-12:recipient
train-3,approaching-4,Wayne_Tower-5:recipient
<NULL>,sticking-42,control-46:is_participant_in
<NULL>,notices-36,half-38:recipient
train-18,said-25,anything-26:recipient
<NULL>,stopping-28,up-34:modifier
<NULL>,stopping-28,looks-33:dependent
you-13,stop-16,not-15:negative
you-13,stop-16,train-18:recipient
you-13,stop-16,why-12:modifier
you-13,stop-16,ca-14:modal_verb
you-4,fight-7,injustice-8:recipient
you-4,fight-7,not-6:negative
you-4,fight-7,could-5:modal_verb
you-4,fight-7,why-3:modifier
Gordon-4,breaks-9,line-12:recipient
Gordon-4,destroys-5,foundation-7:recipient
Gordon-4,breaks-9,line-12:recipient
<NULL>,happens-3,<NULL>
Batman-5,pins-11,<NULL>
Batman-5,regains-6,hand-9:recipient
Batman-1,explains-2,<NULL>
Batman-4,kill-7,Ra-8:recipient
Batman-4,kill-7,not-6:negative
Batman-4,kill-7,wo-5:modal_verb
Batman-1,glides-17,away-18:verb_complement
Batman-1,throws-12,himself-13:recipient
Batman-1,throws-12,out-14:verb_complement
Batman-1,glides-17,away-18:verb_complement
Batman-1,blows-2,end-6:recipient
Batman-1,blows-2,out-3:verb_complement
train-10,propel-11,itself-12:recipient
train-10,propel-11,line-15:away_from_location
train-10,propel-11,street-19:modified_to
train-10,propel-11,below-20:dependent
Ra-1,look-5,up-6:verb_complement
Ra-1,look-5,only-4:modifier
Ra-1,look-5,can-3:modal_verb
Earle-5,arrives-6,day-3:time
Earle-5,arrives-6,Wayne_Enterprises-8:site
Earle-1,shocked-3,<NULL>
Fox-16,reveals-19,<NULL>
meeting-8,begun-11,already-10:modifier
Fox-16,led-14,meeting-8:recipient
who-46,runs-47,Wayne_Enterprises-48:recipient
Batman-13,made-15,page-18:recipient
Earle-36,asks-39,<NULL>
Bruce-43,decide-45,can-44:modal_verb
Bruce-43,decide-45,what-41:recipient
Gordon-31,takes-32,call-34:recipient
Gordon-31,takes-32,Earle-36:origin_value
Bruce-1,states-2,<NULL>
company-6,gone-8,public-9:object
Earle-1,reminds-2,Earle-3:recipient
Gordon-4,bought-5,<NULL>
Bruce-1,explains-2,<NULL>
you-14,get-15,not-13:negative
you-14,get-15,words-22:attachment
you-14,get-15,memo-17:recipient
Earle-23,told-24,Earle-25:recipient
Rachel-21,approached-19,garden-15:time
Rachel-21,approached-19,when-16:modifier
Rachel-21,approached-19,Manor-17:recipient
Bruce-5,nailing-7,garden-15:is_participant_in
Bruce-5,nailing-7,Back-1:modifier
Bruce-5,nailing-7,boards-8:recipient
Manor-1,apologizes-2,<NULL>
Chill-8,died-9,<NULL>
Dawes-1,apologizes-2,Manor-5:with_respect_to
Bruce-1,tells-2,Dawes-3:recipient
Dawes-6,said-7,what-5:recipient
He-1,Dawes-3,<NULL>
Dawes-5,heard-6,when-4:modifier
Dawes-11,began-12,<NULL>
Dawes-1,says-2,<NULL>
Dawes-1,kisses-7,Gordon-8:recipient
Dawes-1,moves-2,closer-3:modifier
Dawes-1,moves-2,Gordon-5:direction
Dawes-5,found-7,then-6:modifier
Dawes-5,found-7,out-8:verb_complement
Dawes-5,found-7,mask-12:location_of
Dawes-1,explains-3,then-2:modifier
loved-18,came-22,back-23:verb_complement
loved-18,came-22,never-21:negative
loved-18,came-22,ago-20:modifier
Dawes-1,explains-2,<NULL>
<NULL>,needed-14,longer-13:modifier
<NULL>,needed-14,when-9:modifier
<NULL>,needed-14,Batman-10:recipient
Bruce-1,nods-2,<NULL>
Rachel-1,tells-2,Gordon-3:recipient
Rachel-11,asks-12,Bruce-13:recipient
Alfred-1,walking-3,<NULL>
Bruce-1,replies-2,<NULL>
Gordon-4,rebuild-6,will-5:modal_verb
Gordon-4,rebuild-6,time-7:recipient
Rachel-1,turns-2,<NULL>
Alfred-1,wonders-2,<NULL>
<NULL>,improve-10,foundations-12:recipient
they-4,walk-5,off-6:verb_complement
Bruce-1,agrees-2,<NULL>
<NULL>,made-15,Batman-11:recipient
<NULL>,made-15,lieutenant-17:recipient
<NULL>,made-15,recently-13:modifier
Gordon-6,reveals-9,<NULL>
Batman-4,meets-5,night-2:time
Batman-4,meets-5,Gordon-6:recipient
Batman-11,made-13,<NULL>
Gordon-1,made-4,also-3:modifier
Gordon-1,made-4,version-6:recipient
<NULL>,buying-22,<NULL>
<NULL>,armorpiercing-23,ammunition-24:recipient
<NULL>,leading-19,<NULL>
<NULL>,wearing-17,Kevlar-18:recipient
<NULL>,wearing-17,criminals-21:recipient
Gordon-1,talks-2,escalation-5:location_of
Gordon-1,expresses-2,concern-3:recipient
Gordon-1,uses-2,case-5:recipient
criminal-2,killed-9,people-11:recipient
suspect-2,leaves-3,card-6:recipient
suspect-2,leaves-3,scene-9:site
Gordon-1,gives-2,Batman-3:recipient
Gordon-1,gives-2,evidence-5:recipient
Batman-4,look-6,will-5:modal_verb
Batman-4,look-6,evidence-8:modified_to
Batman-1,says-2,<NULL>
Batman-13,glides-19,away-20:verb_complement
Batman-1,assures-3,then-2:modifier
Batman-13,glides-19,away-20:verb_complement
Gordon-4,suspect-6,<NULL>
